Quarter,Time,Tm,Detail,LAC,DET
1.0,7:57,Chargers,Austin Ekeler 1 yard rush (Ty Long kick),7,0
,4:10,Lions,Kerryon Johnson 36 yard pass from Matthew Stafford (Matt Prater kick failed),7,6
2.0,0:00,Chargers,Ty Long 39 yard field goal,10,6
4.0,7:21,Lions,Kenny Golladay 31 yard pass from Matthew Stafford (Matt Prater kick),10,13
