Unnamed: 0,LAC,DET
First Downs,21,19
Rush-Yds-TDs,25-137-1,28-94-0
Cmp-Att-Yd-TD-INT,21-36-293-0-1,22-30-245-2-2
Sacked-Yards,1-6,0-0
Net Pass Yards,287,245
Total Yards,424,339
Fumbles-Lost,1-1,0-0
Turnovers,2,2
Penalties-Yards,9-70,8-71
Third Down Conv.,6-13,4-10
Fourth Down Conv.,0-0,1-1
Time of Possession,31:19,28:41
