Unnamed: 0,CIN,PHI
First Downs,18,10
Rush-Yds-TDs,41-157-2,19-42-0
Cmp-Att-Yd-TD-INT,13-27-127-1-0,16-33-180-1-1
Sacked-Yards,6-35,1-3
Net Pass Yards,92,177
Total Yards,249,219
Fumbles-Lost,2-2,4-4
Turnovers,2,5
Penalties-Yards,11-94,9-76
Third Down Conv.,7-18,3-12
Fourth Down Conv.,0-1,0-0
Time of Possession,37:40,22:20
