Quarter,Time,Tm,Detail,CIN,PHI
1.0,11:10,Bengals,BenJarvus Green-Ellis 1 yard rush (Josh Brown kick),7,0
,7:51,Bengals,Josh Brown 24 yard field goal,10,0
2.0,11:40,Eagles,Riley Cooper 11 yard pass from Nick Foles (Alex Henery kick),10,7
,7:37,Eagles,Alex Henery 22 yard field goal,10,10
,0:17,Eagles,Alex Henery 20 yard field goal,10,13
3.0,1:10,Bengals,Andy Dalton 11 yard rush (Josh Brown kick),17,13
,0:21,Bengals,Wallace Gilberry 25 yard defensive fumble return (Josh Brown kick),24,13
4.0,14:12,Bengals,Josh Brown 32 yard field goal,27,13
,12:47,Bengals,A.J. Green 5 yard pass from Andy Dalton (Josh Brown kick),34,13
