Quarter,Time,Down,ToGo,Location,NYJ,PIT,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Jets won the coin toss, Jets to receive the opening kickoff.",,
1,15:00,,,PIT 30,0,0,"Jeff Reed kicks off 68 yards, returned by Jonathan Carter for 21 yards. Jonathan Carter fumbles, recovered by Oliver Celestin at NYJ-23",0.000,0.480
1,14:53,1,10,NYJ 23,0,0,Chad Pennington pass complete to Jerald Sowell for 2 yards (tackle by Chris Hope),0.480,0.200
1,14:15,2,8,NYJ 25,0,0,Curtis Martin up the middle for 5 yards (tackle by James Farrior),0.200,0.170
1,13:35,3,3,NYJ 30,0,0,Chad Pennington pass incomplete intended for Justin McCareins,0.170,-1.370
1,13:29,4,3,NYJ 30,0,0,Toby Gowin punts 47 yards,-1.370,-0.480
1,13:21,1,10,PIT 23,0,0,Duce Staley up the middle for 3 yards (tackle by Jason Ferguson and Bryan Thomas),0.480,0.340
1,12:42,2,7,PIT 26,0,0,"Ben Roethlisberger pass complete to Lee Mays for 9 yards (tackle by David Barrett). Penalty on Marvel Smith: Offensive Holding, 10 yards (no play)",0.340,-1.150
1,12:18,2,17,PIT 16,0,0,Duce Staley right end for 2 yards (tackle by Donnie Abraham and Bryan Thomas),-1.150,-1.560
1,12:18,3,15,PIT 18,0,0,Ben Roethlisberger pass incomplete intended for Hines Ward (defended by David Barrett),-1.560,-2.240
1,11:30,4,15,PIT 18,0,0,"Chris Gardocki punts 49 yards, returned by Santana Moss for 5 yards (tackle by Larry Foote)",-2.240,-1.470
1,11:19,1,10,NYJ 38,0,0,"Chad Pennington pass complete to Santana Moss for 7 yards (tackle by Willie J. Williams). Penalty on Kevin Mawae: Tripping, 10 yards (no play)",1.470,0.810
1,10:55,1,20,NYJ 28,0,0,Curtis Martin up the middle for 6 yards (tackle by Clark Haggans),0.810,0.380
1,10:14,2,14,NYJ 34,0,0,Curtis Martin right end for no gain (tackle by Aaron Smith),0.380,-0.290
1,9:29,3,14,NYJ 34,0,0,"Chad Pennington up the middle for 1 yard (tackle by Joey Porter and James Farrior). Penalty on Chad Pennington: Delay of Game, 5 yards (no play)",-0.290,-0.960
1,9:01,3,19,NYJ 29,0,0,Chad Pennington pass complete to Curtis Martin for 14 yards (tackle by Ricardo Colclough),-0.960,-0.520
1,8:24,4,5,NYJ 43,0,0,"Toby Gowin punts 46 yards, returned by Antwaan Randle El for -5 yards (tackle by Jon McGraw)",-0.520,0.380
1,8:10,1,10,PIT 6,0,0,Duce Staley up the middle for 1 yard (tackle by Jonathan Vilma),-0.380,-0.710
1,7:33,2,9,PIT 7,0,0,Duce Staley up the middle for 5 yards (tackle by Eric Barton),-0.710,-0.720
1,6:53,3,4,PIT 12,0,0,"Ben Roethlisberger pass incomplete intended for Hines Ward. Penalty on Terrell Buckley: Defensive Pass Interference, 7 yards (no play)",-0.720,0.150
1,6:49,1,10,PIT 19,0,0,Ben Roethlisberger pass incomplete intended for Duce Staley,0.150,-0.390
1,6:43,2,10,PIT 19,0,0,Duce Staley up the middle for 5 yards (tackle by Jonathan Vilma and Eric Barton),-0.390,-0.420
1,6:00,3,5,PIT 24,0,0,Ben Roethlisberger sacked by Shaun Ellis for -6 yards,-0.420,-2.240
1,5:33,4,11,PIT 18,0,0,"Chris Gardocki punts 35 yards, fair catch by Justin McCareins",-2.240,-2.060
1,5:25,1,10,NYJ 47,0,0,Chad Pennington pass incomplete intended for Santana Moss is intercepted by Troy Polamalu at PIT-40 and returned for 22 yards,2.060,-3.050
1,5:06,1,10,NYJ 38,0,0,Ben Roethlisberger pass complete to Dan Kreider for 8 yards (tackle by Erik Coleman),3.050,3.590
1,4:33,,,,0,0,Timeout #1 by New York Jets,0.000,3.590
1,4:33,2,2,NYJ 30,0,0,Duce Staley right guard for 9 yards (tackle by Jonathan Vilma and James Reed),3.590,4.170
1,3:53,1,10,NYJ 21,0,0,Duce Staley up the middle for 3 yards (tackle by Shaun Ellis),4.170,4.040
1,3:14,2,7,NYJ 18,0,0,Duce Staley right tackle for 2 yards (tackle by Sam Cowart),4.040,3.630
1,2:32,3,5,NYJ 16,0,0,Ben Roethlisberger pass incomplete intended for Lee Mays,3.630,2.430
1,2:27,4,5,NYJ 16,0,3,Jeff Reed 34 yard field goal good,2.430,3.000
1,,,,PIT 30,0,3,"Jeff Reed kicks off 71 yards, returned by Jonathan Carter for 23 yards (tackle by Ricardo Colclough). Penalty on Adrian Jones: Offensive Holding, 10 yards",0.000,-0.350
1,2:16,1,10,NYJ 12,0,3,Curtis Martin up the middle for 2 yards (tackle by Clark Haggans and Aaron Smith),-0.350,-0.610
