Quarter,Time,Tm,Detail,NYJ,PIT
1.0,2:24,Steelers,Jeff Reed 34 yard field goal,0,3
3.0,7:04,Jets,Doug Brien 43 yard field goal,3,3
4.0,12:51,Steelers,Jerame Tuman 10 yard pass from Jerome Bettis (Jeff Reed kick),3,10
,6:16,Jets,Doug Brien 41 yard field goal,6,10
,3:00,Steelers,Jerome Bettis 12 yard rush (Jeff Reed kick),6,17
