Unnamed: 0,NYJ,PIT
First Downs,15,15
Rush-Yds-TDs,32-107-0,31-120-1
Cmp-Att-Yd-TD-INT,17-31-189-0-3,10-20-154-1-2
Sacked-Yards,0-0,2-12
Net Pass Yards,189,142
Total Yards,296,262
Fumbles-Lost,1-0,1-0
Turnovers,3,2
Penalties-Yards,12-84,2-15
Third Down Conv.,8-15,5-12
Fourth Down Conv.,0-0,0-0
Time of Possession,30:48,29:12
