Unnamed: 0,LAC,KAN
First Downs,29,18
Rush-Yds-TDs,35-135-2,17-51-1
Cmp-Att-Yd-TD-INT,22-31-302-3-0,23-32-218-2-0
Sacked-Yards,3-21,1-1
Net Pass Yards,281,217
Total Yards,416,268
Fumbles-Lost,0-0,3-1
Turnovers,0,1
Penalties-Yards,4-23,5-69
Third Down Conv.,3-7,6-9
Fourth Down Conv.,0-1,0-1
Time of Possession,34:49,25:11
