Unnamed: 0,ATL,GNB
First Downs,22,23
Rush-Yds-TDs,24-107-0,25-138-1
Cmp-Att-Yd-TD-INT,28-42-262-3-1,21-32-196-2-0
Sacked-Yards,2-25,4-34
Net Pass Yards,237,162
Total Yards,344,300
Fumbles-Lost,3-1,2-0
Turnovers,2,0
Penalties-Yards,13-101,6-37
Third Down Conv.,3-12,7-13
Fourth Down Conv.,3-3,0-0
Time of Possession,30:49,29:11
