Quarter,Time,Tm,Detail,ATL,GNB
1.0,11:36,Falcons,Julio Jones 16 yard pass from Matt Ryan (Matt Bryant kick),7,0
,7:11,Packers,Davante Adams 7 yard pass from Aaron Rodgers (Mason Crosby kick),7,7
2.0,7:45,Packers,Mason Crosby 50 yard field goal,7,10
,6:01,Packers,Bashaud Breeland 22 yard interception return (Mason Crosby kick),7,17
,0:00,Packers,Mason Crosby 48 yard field goal,7,20
3.0,12:44,Packers,Randall Cobb 24 yard pass from Aaron Rodgers (Mason Crosby kick),7,27
,5:51,Packers,Aaron Jones 29 yard rush (Mason Crosby kick),7,34
4.0,13:34,Falcons,Julio Jones 12 yard pass from Matt Ryan (Matt Bryant kick),14,34
,0:14,Falcons,Justin Hardy 19 yard pass from Matt Ryan (Matt Bryant kick failed),20,34
