Quarter,Time,Down,ToGo,Location,CHI,DEN,Detail,EPB,EPA
3,13:57,2,13,CHI 22,6,3,"Mitchell Trubisky pass incomplete short left intended for Mike Davis. Penalty on Derek Wolfe: Defensive Holding, 5 yards (no play)",-0.340,0.740
3,13:51,1,10,CHI 27,6,3,"Tarik Cohen right end for no gain (tackle by Chris Harris). Penalty on Charles Leno: Offensive Holding, 10 yards (no play)",0.740,-0.170
3,13:24,1,20,CHI 17,6,3,Mitchell Trubisky pass incomplete short left intended for David Montgomery (defended by DeMarcus Walker),-0.170,-1.290
3,13:18,2,20,CHI 17,6,3,Mitchell Trubisky pass complete short right to Tarik Cohen for -9 yards (tackle by Isaac Yiadom),-1.290,-3.640
3,12:37,3,29,CHI 8,6,3,Mitchell Trubisky pass complete short right to Adam Shaheen for 6 yards (tackle by Josey Jewell),-3.640,-2.470
3,11:59,4,23,CHI 14,6,3,"Pat O'Donnell punts 61 yards, returned by Diontae Spencer for no gain (tackle by Joel Iyiegbuniwe). Penalty on Trey Marshall: Offensive Holding, 10 yards",-2.470,0.220
3,11:44,1,10,DEN 15,6,3,Phillip Lindsay right tackle for 9 yards (tackle by Roquan Smith and Danny Trevathan),-0.220,0.620
3,11:09,2,1,DEN 24,6,3,Phillip Lindsay left tackle for 2 yards (tackle by Eddie Jackson and Eddie Goldman),0.620,0.670
3,10:35,1,10,DEN 26,6,3,Joe Flacco pass complete short right to Jeff Heuerman for 8 yards (tackle by Danny Trevathan),0.670,1.210
3,10:07,2,2,DEN 34,6,3,Joe Flacco pass complete short left to Noah Fant for 3 yards (tackle by Eddie Jackson),1.210,1.400
3,9:33,1,10,DEN 37,6,3,Joe Flacco pass complete short right to Phillip Lindsay for no gain (tackle by Leonard Floyd),1.400,0.860
3,8:54,2,10,DEN 37,6,3,Joe Flacco pass complete deep middle to Emmanuel Sanders for 21 yards (tackle by Buster Skrine),0.860,2.790
3,8:16,1,10,CHI 42,6,3,Royce Freeman right end for -3 yards (tackle by Aaron Lynch),2.790,1.840
3,7:34,2,13,CHI 45,6,3,Phillip Lindsay left tackle for 1 yard (tackle by Roquan Smith and Eddie Goldman),1.840,1.290
3,6:56,3,12,CHI 44,6,3,Joe Flacco pass incomplete deep left intended for Courtland Sutton. Penalty on Garett Bolles: Offensive Holding (Declined),1.290,0.330
3,6:50,4,12,CHI 44,6,3,"Colby Wadman punts 44 yards, touchback.",0.330,-0.280
3,6:44,1,10,CHI 20,6,3,David Montgomery right guard for 12 yards (tackle by Justin Simmons),0.280,1.070
3,6:01,1,10,CHI 32,6,3,Cordarrelle Patterson left end for 46 yards (tackle by Justin Simmons),1.070,4.110
3,5:23,1,10,DEN 22,6,3,David Montgomery right guard for 3 yards (tackle by Adam Gotsis and Corey Nelson),4.110,3.970
3,4:41,2,7,DEN 19,6,3,Taylor Gabriel left end for 14 yards (tackle by Josey Jewell),3.970,6.060
3,3:56,1,5,DEN 5,6,3,David Montgomery up the middle for 3 yards (tackle by Shelby Harris and DeMarcus Walker),6.060,5.720
3,3:18,2,2,DEN 2,6,3,David Montgomery up the middle for no gain (tackle by Derek Wolfe),5.720,4.950
3,2:39,3,2,DEN 2,6,3,"Mitchell Trubisky pass incomplete short left intended for Trey Burton (defended by Will Parks). Penalty on Chris Harris: Defensive Holding, 1 yard (no play)",4.950,6.970
3,2:31,1,1,DEN 1,6,3,David Montgomery up the middle for -1 yards (tackle by Bradley Chubb),6.970,5.720
3,1:56,2,2,DEN 2,6,3,David Montgomery up the middle for 1 yard (tackle by Adam Gotsis and Bradley Chubb),5.720,5.170
3,1:17,3,1,DEN 1,12,3,"David Montgomery up the middle for 1 yard, touchdown",5.170,7.000
3,1:14,,,DEN 15,13,3,Eddy Pineiro kicks extra point good,0.000,0.000
3,1:14,,,CHI 35,13,3,"Eddy Pineiro kicks off 65 yards, touchback.",0.000,0.610
3,1:14,1,10,DEN 25,13,3,Joe Flacco pass complete deep left to Noah Fant for 24 yards (tackle by Prince Amukamara),0.610,2.190
3,0:30,1,10,DEN 49,13,3,Joe Flacco pass complete short left to Emmanuel Sanders for 12 yards (tackle by Danny Trevathan),2.190,2.980
3,0:01,1,10,CHI 39,13,3,Joe Flacco pass complete short left to Troy Fumagalli for 7 yards (tackle by Roquan Smith),2.980,3.390
Quarter,Time,Down,ToGo,Location,CHI,DEN,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,2,3,CHI 32,13,3,Phillip Lindsay left tackle for 7 yards (tackle by Prince Amukamara),3.390,3.910
4,14:28,1,10,CHI 25,13,3,Royce Freeman left tackle for 6 yards (tackle by Roquan Smith),3.910,4.200
4,14:01,2,4,CHI 19,13,3,"Joe Flacco pass incomplete short right. Penalty on Ronald Leary: Offensive Holding, 10 yards (no play)",4.200,2.820
4,13:56,2,14,CHI 29,13,3,"Joe Flacco pass incomplete short left intended for Royce Freeman. Penalty on Eddie Goldman: Roughing the Passer, 15 yards (no play)",2.820,4.650
4,13:52,1,10,CHI 14,13,3,Joe Flacco pass incomplete short left intended for Jeff Heuerman,4.650,4.000
4,13:49,2,10,CHI 14,13,3,Joe Flacco pass incomplete short left intended for Royce Freeman (defended by Khalil Mack),4.000,3.110
4,13:44,3,10,CHI 14,13,3,Joe Flacco pass incomplete short left intended for DaeSean Hamilton,3.110,2.510
4,13:40,4,10,CHI 14,13,6,Brandon McManus 32 yard field goal good,2.510,3.000
4,13:37,,,DEN 35,13,6,"Brandon McManus kicks off 65 yards, touchback.",0.000,0.610
4,13:37,1,10,CHI 25,13,6,Mike Davis left tackle for 2 yards (tackle by Josey Jewell and Shelby Harris),0.610,0.330
4,12:57,2,8,CHI 27,13,6,Mitchell Trubisky pass incomplete short left intended for Ben Braunecker (defended by Justin Simmons),0.330,-0.360
4,12:52,3,8,CHI 27,13,6,Mitchell Trubisky pass incomplete short right intended for Trey Burton,-0.360,-1.570
4,12:49,4,8,CHI 27,13,6,"Pat O'Donnell punts 49 yards, fair catch by Diontae Spencer at DEN-24",-1.570,-0.540
4,12:42,1,10,DEN 24,13,6,Phillip Lindsay right tackle for 2 yards (tackle by Kyle Fuller),0.540,0.270
4,12:11,2,8,DEN 26,13,6,Joe Flacco sacked by Nick Williams for -1 yards,0.270,-0.560
4,11:32,3,9,DEN 25,13,6,Joe Flacco pass complete short right to Courtland Sutton for 9 yards (tackle by Kyle Fuller),-0.560,1.200
4,10:59,1,10,DEN 34,13,6,Royce Freeman left tackle for 3 yards (tackle by Isaiah Irving and Roquan Smith),1.200,1.060
4,10:29,2,7,DEN 37,13,6,Joe Flacco pass complete short right to Noah Fant for 10 yards (tackle by Eddie Jackson). Penalty on Prince Amukamara: Illegal Use of Hands (Declined),1.060,2.060
4,10:01,1,10,DEN 47,13,6,Phillip Lindsay left tackle for 2 yards (tackle by Danny Trevathan),2.060,1.790
4,9:27,2,8,DEN 49,13,6,Joe Flacco pass incomplete short left intended for Phillip Lindsay,1.790,1.090
4,9:22,3,8,DEN 49,13,6,Joe Flacco pass complete short right to DaeSean Hamilton for 6 yards (tackle by Buster Skrine and Eddie Jackson),1.090,0.270
4,8:47,4,2,CHI 45,13,6,Joe Flacco pass complete short left to Phillip Lindsay for 4 yards (tackle by Roquan Smith),0.270,2.850
4,8:15,1,10,CHI 41,13,6,Joe Flacco pass complete short right to Royce Freeman for 11 yards (tackle by Danny Trevathan),2.850,3.580
4,7:33,1,10,CHI 30,13,6,Royce Freeman right tackle for 14 yards (tackle by Roquan Smith),3.580,4.510
4,7:00,1,10,CHI 16,13,6,"Royce Freeman right tackle for 6 yards (tackle by Ha Ha Clinton-Dix). Penalty on Ronald Leary: Offensive Holding, 10 yards",4.510,4.240
4,6:36,1,14,CHI 20,13,6,Joe Flacco pass complete short middle to Courtland Sutton for 16 yards (tackle by Eddie Jackson),4.240,6.280
4,5:58,1,4,CHI 4,13,6,Phillip Lindsay up the middle for no gain (tackle by Buster Skrine),6.280,5.340
4,5:34,2,4,CHI 4,13,6,Joe Flacco pass complete short right to Emmanuel Sanders for 2 yards (tackle by Roquan Smith and Kyle Fuller),5.340,4.950
4,4:51,3,2,CHI 2,13,6,Joe Flacco pass short right intended for Emmanuel Sanders is intercepted by Kyle Fuller at CHI-3 and returned for 8 yards,4.950,0.370
4,4:45,1,10,CHI 11,13,6,David Montgomery up the middle for 4 yards (tackle by Corey Nelson),-0.370,-0.430
4,4:02,2,6,CHI 15,13,6,Mitchell Trubisky pass complete short left to Allen Robinson for 8 yards (tackle by Chris Harris),-0.430,0.480
4,3:57,1,10,CHI 23,13,6,David Montgomery up the middle for 2 yards (tackle by Josey Jewell),0.480,0.200
4,3:52,,,,,,Timeout #1 by Denver Broncos,,
4,3:52,2,8,CHI 25,13,6,Mitchell Trubisky pass complete short left to Trey Burton for no gain (tackle by Kareem Jackson),0.200,-0.490
4,3:45,,,,,,Timeout #2 by Denver Broncos,,
4,3:45,3,8,CHI 25,13,6,Mitchell Trubisky pass complete short right to Allen Robinson for 3 yards (tackle by Justin Simmons),-0.490,-1.500
4,3:00,4,5,CHI 28,13,6,"Pat O'Donnell punts 51 yards, returned by Diontae Spencer for 17 yards (tackle by Patrick Scales)",-1.500,-1.470
4,2:48,1,10,DEN 38,13,6,Joe Flacco pass complete short right to Royce Freeman for 19 yards (tackle by Danny Trevathan),1.470,2.720
4,2:40,1,10,CHI 43,13,6,Joe Flacco pass incomplete short middle intended for Courtland Sutton (defended by Eddie Jackson),2.720,2.180
4,2:34,2,10,CHI 43,13,6,Joe Flacco pass incomplete short right intended for Royce Freeman,2.180,1.490
4,2:31,3,10,CHI 43,13,6,Joe Flacco pass incomplete short right intended for Emmanuel Sanders,1.490,0.400
4,2:25,,,,,,Timeout #3 by Denver Broncos,,
4,2:25,,,,,,Timeout #1 by Chicago Bears,,
4,2:25,4,10,CHI 43,13,6,Joe Flacco pass complete short right to Courtland Sutton for 10 yards (tackle by Kyle Fuller),0.400,3.380
4,2:00,1,10,CHI 33,13,6,Joe Flacco pass complete short left to Royce Freeman for 5 yards (tackle by Danny Trevathan),3.380,3.510
4,1:37,2,5,CHI 28,13,6,Joe Flacco pass complete short left to DaeSean Hamilton for 9 yards (tackle by Prince Amukamara),3.510,4.310
4,1:32,1,10,CHI 19,13,6,Joe Flacco pass incomplete short left intended for Phillip Lindsay,4.310,3.750
4,1:27,2,10,CHI 19,13,6,Joe Flacco pass complete short middle to Emmanuel Sanders for 7 yards (tackle by Prince Amukamara),3.750,4.190
4,1:07,3,3,CHI 12,13,6,Joe Flacco pass incomplete short right intended for Phillip Lindsay (defended by Eddie Jackson),4.190,2.730
4,1:02,,,,,,Timeout #2 by Chicago Bears,,
4,1:02,4,3,CHI 12,13,6,Joe Flacco pass complete short right to Courtland Sutton for 5 yards (tackle by Kyle Fuller),2.730,5.600
4,0:37,1,7,CHI 7,13,12,"Joe Flacco pass complete short right to Emmanuel Sanders for 7 yards, touchdown",5.600,7.000
4,0:31,,,CHI 2,13,12,"Penalty on DEN: Delay of Game, 5 yards (no play)",1.000,0.000
4,0:31,,,CHI 20,13,12,"Brandon McManus kicks extra point no good wide right. Penalty on Buster Skrine: Defensive Offside, 1 yard (no play)",0.000,1.000
4,0:31,,,CHI 1,13,14,"Two Point Attempt: Joe Flacco pass complete to Emmanuel Sanders, conversion succeeds",1.000,1.000
4,0:31,,,DEN 35,13,14,"Brandon McManus kicks off 65 yards, touchback.",0.000,0.610
4,0:31,1,10,CHI 25,13,14,"Mitchell Trubisky pass complete short right to Trey Burton for 5 yards (tackle by Isaac Yiadom). Penalty on Bradley Chubb: Roughing the Passer, 15 yards",0.610,1.930
4,0:24,1,10,CHI 45,13,14,Mitchell Trubisky pass incomplete deep right intended for Allen Robinson,1.930,1.380
4,0:17,2,10,CHI 45,13,14,Mitchell Trubisky pass incomplete short middle intended for Allen Robinson (defended by Kareem Jackson),1.380,0.700
4,0:13,3,10,CHI 45,13,14,Mitchell Trubisky pass incomplete short right intended for Tarik Cohen,0.700,-0.390
4,0:09,4,10,CHI 45,13,14,"Penalty on CHI: Offensive Too Many Men on Field, 5 yards (no play)",-0.390,-0.720
4,0:09,4,15,CHI 40,13,14,Mitchell Trubisky pass complete deep middle to Allen Robinson for 25 yards (tackle by Chris Harris),-0.720,3.250
4,0:01,,,,,,Timeout #3 by Chicago Bears,,
4,0:01,1,10,DEN 35,16,14,Eddy Pineiro 53 yard field goal good,3.250,3.000
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
