Quarter,Time,Tm,Detail,CHI,DEN
1.0,9:45,Broncos,Brandon McManus 43 yard field goal,0,3
2.0,13:35,Bears,Eddy Pineiro 40 yard field goal,3,3
,5:10,Bears,Eddy Pineiro 52 yard field goal,6,3
3.0,1:14,Bears,David Montgomery 1 yard rush (Eddy Pineiro kick),13,3
4.0,13:37,Broncos,Brandon McManus 32 yard field goal,13,6
,0:31,Broncos,Emmanuel Sanders 7 yard pass from Joe Flacco (Emmanuel Sanders pass from Joe Flacco),13,14
,0:00,Bears,Eddy Pineiro 53 yard field goal,16,14
