Unnamed: 0,CHI,DEN
First Downs,18,27
Rush-Yds-TDs,29-153-1,24-90-0
Cmp-Att-Yd-TD-INT,16-27-120-0-0,35-50-292-1-1
Sacked-Yards,0-0,2-10
Net Pass Yards,120,282
Total Yards,273,372
Fumbles-Lost,0-0,0-0
Turnovers,0,1
Penalties-Yards,7-65,10-81
Third Down Conv.,3-11,3-14
Fourth Down Conv.,1-1,3-3
Time of Possession,27:01,32:59
