Quarter,Time,Down,ToGo,Location,SFO,IND,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"49ers won the coin toss and deferred, Colts to receive the opening kickoff.",,
1,15:00,,,SFO 35,0,0,"Bradley Pinion kicks off 65 yards, touchback",0.000,-0.610
1,15:00,1,10,IND 25,0,0,Jacoby Brissett pass complete short right to Donte Moncrief for 10 yards (tackle by Dontae Johnson),0.610,1.270
1,14:33,1,10,IND 35,0,0,Frank Gore right guard for 9 yards (tackle by NaVorro Bowman),1.270,1.940
1,13:55,2,1,IND 44,0,0,Frank Gore right end for -1 yards (tackle by DeForest Buckner and Rashard Robinson),1.940,1.090
1,13:19,3,2,IND 43,0,0,Jacoby Brissett pass complete short middle to Brandon Williams for 5 yards (tackle by Ray-Ray Armstrong),1.090,2.130
1,12:43,1,10,IND 48,0,0,Jacoby Brissett pass complete short left to Kamar Aiken for 13 yards (tackle by Dontae Johnson),2.130,2.980
1,12:03,1,10,SFO 39,0,0,Marlon Mack for 9 yards (tackle by Ray-Ray Armstrong),2.980,3.660
1,11:29,2,1,SFO 30,0,0,Frank Gore middle for 5 yards (tackle by Ray-Ray Armstrong),3.660,3.910
1,10:55,1,10,SFO 25,0,0,Jacoby Brissett pass incomplete short left intended for Kamar Aiken (defended by Arik Armstead),3.910,3.360
1,10:50,2,10,SFO 25,0,0,Jacoby Brissett sacked by Xavier Cooper and Jaquiski Tartt for -6 yards,3.360,1.880
1,10:06,3,16,SFO 31,0,0,"Penalty on T.Y. Hilton: False Start, 5 yards (no play)",1.880,1.220
1,9:52,3,21,SFO 36,0,0,Jacoby Brissett pass complete short right to Robert Turbin for 2 yards (tackle by Elvis Dumervil and DeForest Buckner),1.220,1.060
1,9:15,4,19,SFO 34,0,3,Adam Vinatieri 52 yard field goal good,1.060,3.000
1,9:09,,,IND 35,0,3,"Rigoberto Sanchez kicks off 65 yards, touchback",0.000,-0.610
1,9:09,1,10,SFO 25,0,3,Brian Hoyer pass complete short right to Pierre Garcon for 6 yards (tackle by Rashaan Melvin),0.610,0.870
1,8:45,2,4,SFO 31,0,3,Brian Hoyer pass complete short left to Pierre Garcon for 5 yards (tackle by Matthias Farley and Jabaal Sheard),0.870,1.330
1,8:08,1,10,SFO 36,0,3,Carlos Hyde left end for 1 yard (tackle by Al Woods and Antonio Morrison),1.330,0.930
1,7:31,2,9,SFO 37,0,3,"Carlos Hyde right end for 3 yards (tackle by Antonio Morrison). Penalty on Marquise Goodwin: Offensive Holding, 10 yards",0.930,-0.020
1,7:10,2,16,SFO 30,0,3,Brian Hoyer pass complete deep middle to Marquise Goodwin for 19 yards (tackle by Malik Hooker and Jonathan Bostic),-0.020,2.190
1,6:24,1,10,SFO 49,0,3,Brian Hoyer pass complete short middle to Pierre Garcon for 14 yards (tackle by Rashaan Melvin),2.190,3.120
1,5:43,1,10,IND 37,0,3,"Penalty on Laken Tomlinson: False Start, 5 yards (no play)",3.120,2.790
1,5:26,1,15,IND 42,0,3,Brian Hoyer pass complete short middle to Pierre Garcon for 16 yards (tackle by Malik Hooker),2.790,3.840
1,4:48,1,10,IND 26,0,3,Brian Hoyer pass complete short right to Pierre Garcon for 10 yards (tackle by Antonio Morrison),3.840,4.510
1,4:04,1,10,IND 16,0,3,Brian Hoyer pass complete short right to George Kittle for 3 yards (tackle by Matthias Farley),4.510,4.390
1,3:28,2,7,IND 13,0,3,Kyle Juszczyk middle for 3 yards (tackle by Al Woods),4.390,4.170
1,2:47,3,4,IND 10,0,3,Brian Hoyer pass incomplete short left intended for George Kittle,4.170,2.840
1,2:41,4,4,IND 10,3,3,Robbie Gould 28 yard field goal good,2.840,3.000
1,2:37,,,SFO 35,3,3,"Bradley Pinion kicks off 65 yards, touchback",0.000,-0.610
1,2:37,1,10,IND 25,3,3,Frank Gore right tackle for 2 yards (tackle by NaVorro Bowman and Dontae Johnson),0.610,0.330
1,2:01,2,8,IND 27,3,3,Jacoby Brissett pass complete short left to T.Y. Hilton for 7 yards (tackle by K'Waun Williams),0.330,0.560
1,1:25,3,1,IND 34,3,3,Robert Turbin middle for 4 yards (tackle by Jaquiski Tartt and NaVorro Bowman),0.560,1.470
1,0:47,1,10,IND 38,3,3,Jacoby Brissett pass incomplete,1.470,0.920
1,0:38,2,10,IND 38,3,3,"Penalty on Arik Armstead: Neutral Zone Infraction, 5 yards (no play)",0.920,1.600
1,0:38,2,5,IND 43,3,3,Marlon Mack right end for -2 yards (tackle by DeForest Buckner and Solomon Thomas),1.600,0.630
Quarter,Time,Down,ToGo,Location,SFO,IND,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,3,7,IND 41,3,3,Jacoby Brissett pass incomplete deep left intended for Kamar Aiken,0.630,-0.650
2,14:56,4,7,IND 41,3,3,"Rigoberto Sanchez punts 51 yards, out of bounds",-0.650,0.380
2,14:45,1,10,SFO 8,3,3,Carlos Hyde right end for 4 yards (tackle by Rashaan Melvin),-0.380,0.000
2,14:02,,,,,,Timeout #1 by San Francisco 49ers,0.000,0.490
2,14:02,2,6,SFO 12,3,3,"Brian Hoyer for no gain. Brian Hoyer fumbles, recovered by Brian Hoyer at SFO-9",-0.490,-1.300
2,13:23,3,9,SFO 9,3,3,Brian Hoyer pass incomplete short right intended for Marquise Goodwin,-1.300,-2.490
2,13:18,4,9,SFO 9,3,3,"Bradley Pinion punts 51 yards, returned by Quan Bray for -6 yards, lateral to Krishawn Hogan for -1 yards (tackle by Elijah Lee). Krishawn Hogan fumbles (forced by Elijah Lee), recovered by Krishawn Hogan at IND-25",-2.490,-0.670
2,13:02,1,10,IND 26,3,3,Jacoby Brissett pass incomplete deep left intended for T.Y. Hilton,0.670,0.130
2,12:54,2,10,IND 26,3,3,Jacoby Brissett pass incomplete short right intended for Frank Gore,0.130,-0.560
2,12:50,3,10,IND 26,3,3,Jacoby Brissett pass incomplete short right intended for Kamar Aiken,-0.560,-1.630
2,12:44,4,10,IND 26,3,3,"Rigoberto Sanchez punts 56 yards, returned by Trent Taylor for 9 yards (tackle by Anthony Walker). Penalty on Asa Jackson: Offensive Holding, 10 yards",-1.630,0.380
2,12:33,1,10,SFO 8,3,3,Brian Hoyer pass incomplete short right intended for Kyle Juszczyk,-0.380,-0.780
2,12:24,2,10,SFO 8,3,3,Carlos Hyde right guard for -4 yards (tackle by Barkevious Mingo),-0.780,-1.890
2,11:50,3,14,SFO 4,3,3,Carlos Hyde middle for 6 yards (tackle by John Simon),-1.890,-2.490
2,11:08,4,8,SFO 10,3,3,"Bradley Pinion punts 47 yards, out of bounds",-2.490,-1.800
2,11:00,1,10,IND 43,3,3,Jacoby Brissett pass complete short right to Darrell Daniels for 13 yards (tackle by NaVorro Bowman),1.800,2.650
2,10:35,1,10,SFO 44,3,3,Frank Gore right tackle for 1 yard (tackle by Jaquiski Tartt),2.650,2.250
2,9:58,2,9,SFO 43,3,3,"Jacoby Brissett pass complete short right to Marlon Mack for 2 yards (tackle by Ahkello Witherspoon). Penalty on T.Y. Hilton: Illegal Block Above the Waist, 10 yards",2.250,1.170
2,9:58,2,17,IND 49,3,3,"Penalty on Frank Gore: False Start, 5 yards (no play)",1.170,0.490
2,9:19,2,22,IND 44,3,3,Jacoby Brissett pass complete short right to Frank Gore for 12 yards (tackle by NaVorro Bowman),0.490,1.420
2,8:36,3,10,SFO 44,3,3,Jacoby Brissett sacked by Elvis Dumervil for -8 yards,1.420,-0.190
2,7:59,4,18,IND 48,3,3,Rigoberto Sanchez punts 33 yards,-0.190,-0.150
2,7:49,1,10,SFO 19,3,3,Matt Breida right end for 5 yards (tackle by John Simon),0.150,0.340
2,7:21,2,5,SFO 24,3,3,Matt Breida right end for 5 yards (tackle by Jabaal Sheard),0.340,0.870
2,6:38,1,10,SFO 29,3,3,Brian Hoyer pass incomplete short middle intended for Marquise Goodwin (defended by Matthias Farley),0.870,0.330
2,6:34,2,10,SFO 29,3,3,Matt Breida right end for -1 yards (tackle by Johnathan Hankins),0.330,-0.490
2,5:51,3,11,SFO 28,3,3,Brian Hoyer pass complete short middle to George Kittle for 7 yards (tackle by Darius Butler),-0.490,-1.040
2,5:10,4,4,SFO 35,3,3,"Bradley Pinion punts 55 yards, returned by Quan Bray for 13 yards (tackle by Ray-Ray Armstrong)",-1.040,-0.480
2,4:56,1,10,IND 23,3,3,Jacoby Brissett pass complete deep right to T.Y. Hilton for 16 yards,0.480,1.530
2,4:27,1,10,IND 39,3,3,Frank Gore middle for 16 yards (tackle by Jimmie Ward),1.530,2.590
2,3:48,1,10,SFO 45,3,3,Marlon Mack middle for -1 yards (tackle by DeForest Buckner),2.590,1.910
2,3:09,2,11,SFO 46,3,3,Jacoby Brissett pass complete deep right to T.Y. Hilton for 26 yards,1.910,4.240
2,2:31,1,10,SFO 20,3,3,Jacoby Brissett pass incomplete deep right intended for Darrell Daniels,4.240,3.690
2,2:25,2,10,SFO 20,3,3,Frank Gore right tackle for 5 yards (tackle by Jaquiski Tartt),3.690,3.700
2,2:00,3,5,SFO 15,3,3,Jacoby Brissett pass complete short middle to Kamar Aiken for 9 yards (tackle by Jimmie Ward),3.700,0.000
2,1:56,,,,,,Timeout #2 by San Francisco 49ers,0.000,-5.830
2,1:56,1,6,SFO 6,3,3,Frank Gore left guard for 2 yards (tackle by Earl Mitchell),5.830,0.000
2,1:51,,,,,,Timeout #3 by San Francisco 49ers,0.000,-5.340
2,1:51,2,4,SFO 4,3,3,Jacoby Brissett sacked by Brock Coyle and Arik Armstead for -1 yards,5.340,4.260
2,1:07,3,5,SFO 5,3,3,Jacoby Brissett pass incomplete short right intended for T.Y. Hilton (defended by Rashard Robinson),4.260,3.010
2,1:03,4,5,SFO 5,3,6,Adam Vinatieri 23 yard field goal good,3.010,3.000
2,0:59,,,IND 35,3,6,"Rigoberto Sanchez kicks off 65 yards, touchback",0.000,-0.610
2,0:59,1,10,SFO 25,3,6,Brian Hoyer pass complete short middle to Pierre Garcon for 25 yards (tackle by Darius Butler and Pierre Desir),0.610,2.260
2,0:42,1,10,,3,6,Brian Hoyer pass incomplete short left intended for Marquise Goodwin (defended by Vontae Davis),2.260,1.710
2,0:38,2,10,,3,6,Brian Hoyer pass complete short right to Pierre Garcon for 5 yards (tackle by Rashaan Melvin),1.710,1.690
2,0:19,3,5,IND 45,3,6,Brian Hoyer pass complete short left to Marquise Goodwin for 13 yards (tackle by Vontae Davis),1.690,3.450
2,0:11,1,10,IND 32,3,6,Brian Hoyer pass complete short left to Matt Breida for 7 yards (tackle by Matthias Farley),3.450,0.000
2,0:07,,,,,,Timeout #1 by Indianapolis Colts,0.000,-3.850
2,0:07,2,3,IND 25,6,6,Robbie Gould 43 yard field goal good,3.850,3.000
2,0:02,,,SFO 35,6,6,"Bradley Pinion kicks off 65 yards, touchback",0.000,-0.610
2,0:02,1,10,IND 25,6,6,Jacoby Brissett kneels for -1 yards,0.610,-0.070
