Unnamed: 0,SFO,IND
First Downs,23,25
Rush-Yds-TDs,22-66-0,35-159-2
Cmp-Att-Yd-TD-INT,29-46-353-2-0,22-34-314-0-1
Sacked-Yards,2-17,4-26
Net Pass Yards,336,288
Total Yards,402,447
Fumbles-Lost,2-0,3-0
Turnovers,0,1
Penalties-Yards,10-77,7-62
Third Down Conv.,4-14,8-16
Fourth Down Conv.,2-2,0-0
Time of Possession,31:05,37:17
