Quarter,Time,Tm,Detail,SFO,IND
1,9:09,Colts,Adam Vinatieri 52 yard field goal,0,3
,2:37,49ers,Robbie Gould 28 yard field goal,3,3
2,0:59,Colts,Adam Vinatieri 23 yard field goal,3,6
,0:02,49ers,Robbie Gould 43 yard field goal,6,6
3,7:42,Colts,Adam Vinatieri 38 yard field goal,6,9
,3:17,Colts,Marlon Mack 22 yard rush (Adam Vinatieri kick),6,16
4,13:39,49ers,Robbie Gould 40 yard field goal,9,16
,9:56,Colts,Jacoby Brissett 3 yard rush (Adam Vinatieri kick),9,23
,8:00,49ers,Kyle Juszczyk 6 yard pass from Brian Hoyer (Robbie Gould kick),16,23
,0:20,49ers,George Kittle 5 yard pass from Brian Hoyer (Robbie Gould kick),23,23
OT,1:38,Colts,Adam Vinatieri 51 yard field goal,23,26
