Quarter,Time,Tm,Detail,TEN,STL
1.0,11:53,Titans,Shonn Greene 5 yard rush (Rob Bironas kick),7,0
2.0,9:37,Rams,Zac Stacy 3 yard rush (Greg Zuerlein kick),7,7
3.0,9:09,Rams,Zac Stacy 9 yard rush (Greg Zuerlein kick),7,14
,4:58,Titans,Chris Johnson 14 yard rush (Rob Bironas kick),14,14
4.0,9:42,Titans,Jake Locker 5 yard rush (Rob Bironas kick),21,14
,6:15,Rams,Jared Cook 10 yard pass from Kellen Clemens (Greg Zuerlein kick),21,21
,2:54,Titans,Chris Johnson 19 yard rush (Rob Bironas kick),28,21
