Quarter,Time,Down,ToGo,Location,TEN,STL,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Rams won the coin toss and deferred, Titans to receive the opening kickoff.",,
1,15:00,,,STL 35,0,0,"Greg Zuerlein kicks off 59 yards, returned by Jackie Battle for 26 yards (tackle by Benny Cunningham)",0.000,-1.070
1,14:53,1,10,TEN 32,0,0,Chris Johnson left tackle for 23 yards (tackle by Rodney McLeod),1.070,2.590
1,14:22,1,10,STL 45,0,0,Chris Johnson right tackle for 4 yards (tackle by James Laurinaitis),2.590,2.580
1,13:42,2,6,STL 41,0,0,Jake Locker pass incomplete short right intended for Nate Washington,2.580,1.880
1,13:38,3,6,STL 41,0,0,Jake Locker pass complete short middle to Justin Hunter for 8 yards (tackle by Trumaine Johnson),1.880,3.380
1,13:01,1,10,STL 33,0,0,"Jake Locker pass complete short right to Collin Mooney for 2 yards (tackle by Alec Ogletree). Penalty on Cortland Finnegan: Defensive Holding, 5 yards (no play)",3.380,3.710
1,12:55,1,10,STL 28,0,0,"Chris Johnson right end for 1 yard (tackle by Darian Stewart). Penalty on Darian Stewart: Horse Collar Tackle, 14 yards",3.710,4.710
1,12:32,1,10,STL 13,0,0,"Chris Johnson left tackle for 3 yards (tackle by James Laurinaitis). Penalty on Jermelle Cudjo: Illegal Use of Hands, 5 yards",4.710,6.060
1,12:02,1,5,STL 5,6,0,"Shonn Greene left tackle for 5 yards, touchdown",6.060,7.000
1,12:02,,,STL 2,7,0,Rob Bironas kicks extra point good,0.000,0.000
1,12:02,,,TEN 35,7,0,"Rob Bironas kicks off 65 yards, touchback",0.000,-0.280
1,11:53,1,10,STL 20,7,0,Zac Stacy right guard for no gain (tackle by Sammie Lee Hill),0.280,-0.270
1,11:22,2,10,STL 20,7,0,Zac Stacy right tackle for 3 yards (tackle by Jurrell Casey),-0.270,-0.560
1,10:43,3,7,STL 23,7,0,Kellen Clemens up the middle for 16 yards (tackle by Bernard Pollard),-0.560,1.530
1,9:55,1,10,STL 39,7,0,Zac Stacy left tackle for 3 yards (tackle by Colin McCarthy),1.530,1.390
1,9:17,2,7,STL 42,7,0,Kellen Clemens sacked by Jurrell Casey for -2 yards,1.390,0.430
1,8:36,3,9,STL 40,7,0,Kellen Clemens pass complete short middle to Brian Quick for 10 yards (tackle by George Wilson),0.430,2.260
1,7:54,1,10,,7,0,Zac Stacy up the middle for 10 yards (tackle by Colin McCarthy),2.260,2.920
1,7:12,1,10,TEN 40,7,0,Zac Stacy left guard for 3 yards (tackle by Mike Martin),2.920,2.780
1,6:31,2,7,TEN 37,7,0,Kellen Clemens pass complete short right to Jared Cook for 17 yards (tackle by Jurrell Casey),2.780,4.240
1,5:47,1,10,TEN 20,7,0,"Benny Cunningham up the middle for 6 yards. Benny Cunningham fumbles, recovered by Coty Sensabaugh at TEN-10 (tackle by Joe Barksdale)",4.240,0.380
1,5:39,1,10,TEN 10,7,0,Chris Johnson left tackle for 3 yards (tackle by Robert Quinn),-0.380,-0.560
1,5:01,2,7,TEN 13,7,0,Chris Johnson up the middle for 8 yards (tackle by James Laurinaitis),-0.560,0.340
1,4:27,1,10,TEN 21,7,0,Jake Locker sacked by James Laurinaitis for -5 yards,0.340,-1.010
1,3:47,2,15,TEN 16,7,0,Jake Locker pass complete short right to Delanie Walker for 8 yards (tackle by Cortland Finnegan),-1.010,-0.490
1,2:59,3,7,TEN 24,7,0,Jake Locker pass incomplete deep left intended for Kendall Wright,-0.490,-1.770
1,2:54,4,7,TEN 24,7,0,"Brett Kern punts 51 yards, returned by Tavon Austin for -5 yards (tackle by Zaviar Gooden)",-1.770,-0.280
1,2:42,1,10,STL 20,7,0,Kellen Clemens pass complete short left to Zac Stacy for 12 yards (tackle by Alterraun Verner),0.280,1.070
1,2:03,1,10,STL 32,7,0,Kellen Clemens pass complete short right to Lance Kendricks for no gain,1.070,0.530
1,1:20,2,10,STL 32,7,0,Zac Stacy right end for 3 yards (tackle by Colin McCarthy),0.530,0.230
1,0:40,3,7,STL 35,7,0,Kellen Clemens pass complete short middle to Austin Pettis for 13 yards (tackle by Coty Sensabaugh),0.230,2.130
Quarter,Time,Down,ToGo,Location,TEN,STL,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,1,10,STL 48,7,0,Zac Stacy left tackle for 4 yards (tackle by Mike Martin),2.130,2.120
2,14:24,2,6,TEN 48,7,0,"Kellen Clemens pass complete short middle to Zac Stacy for 5 yards (tackle by Bernard Pollard). Penalty on Mike Martin: Defensive Offside, 5 yards (no play)",2.120,2.800
2,13:56,2,1,TEN 43,7,0,Zac Stacy left tackle for 7 yards (tackle by Alterraun Verner),2.800,3.180
2,13:10,1,10,TEN 36,7,0,Tavon Austin left end for 6 yards (tackle by Alterraun Verner),3.180,3.450
2,12:27,2,4,TEN 30,7,0,Kellen Clemens pass complete short middle to Lance Kendricks for 11 yards (tackle by Colin McCarthy and Zach Brown),3.450,4.310
2,11:40,1,10,TEN 19,7,0,Zac Stacy right tackle for 2 yards (tackle by Akeem Ayers),4.310,4.030
2,11:01,2,8,TEN 17,7,0,Kellen Clemens pass complete short middle to Stedman Bailey for 12 yards (tackle by Akeem Ayers),4.030,6.060
2,10:26,1,5,TEN 5,7,0,Zac Stacy up the middle for 2 yards (tackle by Colin McCarthy),6.060,5.530
2,9:44,2,3,TEN 3,7,6,"Zac Stacy up the middle for 3 yards, touchdown",5.530,7.000
2,9:44,,,TEN 2,7,7,Greg Zuerlein kicks extra point good,0.000,0.000
2,9:44,,,STL 35,7,7,"Greg Zuerlein kicks off 65 yards, touchback",0.000,-0.280
2,9:37,1,10,TEN 20,7,7,Shonn Greene left tackle for 4 yards (tackle by James Laurinaitis),0.280,0.270
2,9:03,2,6,TEN 24,7,7,Jake Locker pass complete short middle to Delanie Walker for 5 yards (tackle by Jo-Lonn Dunbar),0.270,0.230
2,8:21,3,1,TEN 29,7,7,Jake Locker pass complete short right to Shonn Greene for 28 yards (tackle by Rodney McLeod),0.230,2.720
2,7:47,1,10,STL 43,7,7,Chris Johnson left tackle for 1 yard (tackle by Rodney McLeod and Cortland Finnegan),2.720,2.310
2,7:03,2,9,STL 42,7,7,Jake Locker sacked by William Hayes for -4 yards,2.310,1.090
2,6:28,3,13,STL 46,7,7,Jake Locker pass complete short left to Kendall Wright for 6 yards (tackle by Alec Ogletree),1.090,0.590
2,5:59,4,7,STL 40,7,7,"Brett Kern punts 30 yards, fair catch by Tavon Austin",0.590,0.380
2,5:49,1,10,STL 10,7,7,Zac Stacy left tackle for 1 yard (tackle by Derrick Morgan),-0.380,-0.710
2,5:14,2,9,STL 11,7,7,Zac Stacy up the middle for 4 yards (tackle by Zach Brown),-0.710,-0.840
2,4:32,3,5,STL 15,7,7,Kellen Clemens pass incomplete deep right intended for Tavon Austin,-0.840,-2.440
2,4:26,4,5,STL 15,7,7,"Johnny Hekker punts 57 yards, returned by Damian Williams for 8 yards (tackle by Stedman Bailey). Penalty on Ray Ray Armstrong: Ineligible Downfield Kick, 5 yards",-2.440,-1.660
2,4:15,1,10,TEN 41,7,7,Jake Locker pass incomplete short right intended for Craig Stevens (defended by Alec Ogletree),1.660,1.120
