Player,Pos
Tom Brady,QB
Corey Dillon,RB
Reche Caldwell,WR
Doug Gabriel,WR
Ben Watson,TE
Daniel Graham,TE
Matt Light,LT
Logan Mankins,LG
Dan Koppen,C
Billy Yates,RG
Nick Kaczur,RT
Jarvis Green,LDE
Vince Wilfork,NT
Richard Seymour,RDE
Mike Vrabel,OLB
Rosevelt Colvin,OLB
Junior Seau,ILB
Tedy Bruschi,ILB
Ellis Hobbs,LCB
Asante Samuel,RCB
Chad Scott,SS
Artrell Hawkins,FS
