Quarter,Time,Tm,Detail,NYJ,NWE
2.0,14:56,Patriots,Stephen Gostkowski 31 yard field goal,0,3
,4:43,Jets,Kevan Barlow 2 yard rush (Mike Nugent kick),7,3
,0:04,Patriots,Stephen Gostkowski 21 yard field goal,7,6
3.0,1:46,Jets,Mike Nugent 34 yard field goal,10,6
4.0,4:45,Jets,Jerricho Cotchery 22 yard pass from Chad Pennington (Mike Nugent kick),17,6
,4:14,Patriots,Reche Caldwell 15 yard pass from Tom Brady (Reche Caldwell pass from Tom Brady),17,14
