Quarter,Time,Down,ToGo,Location,MIN,ATL,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Falcons won the coin toss, Falcons to receive the opening kickoff.",,
1,15:00,,,MIN 35,0,0,"Ryan Longwell kicks off 69 yards, returned by Eric Weems for 26 yards (tackle by Jamarca Sanford)",0.000,0.410
1,14:55,1,10,ATL 22,0,0,Michael Turner left tackle for no gain (tackle by E.J. Henderson),0.410,-0.130
1,14:17,2,10,ATL 22,0,0,Matt Ryan pass complete short right to Tony Gonzalez for 7 yards (tackle by Tyrell Johnson and Benny Sapp),-0.130,0.100
1,13:37,3,3,ATL 29,0,0,Matt Ryan pass incomplete deep left intended for Harry Douglas,0.100,-1.440
1,13:33,4,3,ATL 29,0,0,"Matt Bosher punts 46 yards, returned by Marcus Sherels for 7 yards (tackle by Kroy Biermann). Penalty on Antone Smith: Illegal Motion, 5 yards",-1.440,-1.400
1,13:20,1,10,MIN 37,0,0,Christian Ponder pass complete short right to Percy Harvin for -8 yards (tackle by Stephen Nicholas),1.400,-0.220
1,12:40,2,18,MIN 29,0,0,Christian Ponder pass complete short left to Percy Harvin for 4 yards (tackle by Dunta Robinson and John Abraham),-0.220,-0.360
1,12:03,3,14,MIN 33,0,0,Christian Ponder pass incomplete short right intended for Michael Jenkins,-0.360,-1.180
1,11:56,4,14,MIN 33,0,0,"Chris Kluwe punts 48 yards, returned by Eric Weems for 1 yard (tackle by Kenny Onatolu)",-1.180,-0.280
1,11:47,1,10,ATL 20,0,0,Michael Turner left guard for 10 yards (tackle by Chad Greenway),0.280,0.940
1,11:06,1,10,ATL 30,0,0,"Michael Turner left end for 1 yard (tackle by Jared Allen). Penalty on Jared Allen: Face Mask (15 Yards), 15 yards",0.940,1.990
1,10:38,1,10,ATL 46,0,0,Michael Turner left guard for 4 yards (tackle by Brian Robison and Chad Greenway),1.990,1.990
1,10:11,2,6,,0,0,Matt Ryan pass complete short left to Tony Gonzalez for 5 yards (tackle by Tyrell Johnson),1.990,1.950
1,9:29,3,1,MIN 45,0,0,Jason Snelling left guard for 3 yards (tackle by Brian Robison),1.950,2.790
1,8:53,1,10,MIN 42,0,0,Michael Turner left end for 10 yards (tackle by E.J. Henderson),2.790,3.450
1,8:47,1,10,MIN 32,0,0,"Penalty on Christian Ballard: Encroachment, 5 yards (no play)",3.450,4.180
1,7:53,1,5,MIN 27,0,0,Michael Turner right tackle for 9 yards (tackle by Chad Greenway and Asher Allen),4.180,4.370
1,7:04,1,10,MIN 18,0,0,"Matt Ryan pass incomplete short right intended for Roddy White. Penalty on Joe Hawley: Offensive Holding, 10 yards (no play)",4.370,3.710
1,6:57,1,20,MIN 28,0,0,Jason Snelling left guard for 1 yard (tackle by E.J. Henderson),3.710,2.610
1,6:16,2,19,MIN 27,0,6,"Matt Ryan pass complete short middle to Harry Douglas for 27 yards, touchdown",2.610,7.000
1,,,,MIN 2,0,7,Matt Bryant kicks extra point good,0.000,0.000
1,,,,ATL 35,0,7,"Matt Bosher kicks off 65 yards, touchback",0.000,0.280
1,6:08,1,10,MIN 20,0,7,Toby Gerhart right tackle for no gain (tackle by Sean Weatherspoon),0.280,-0.270
1,5:39,2,10,MIN 20,0,7,Toby Gerhart right guard for 5 yards (tackle by James Sanders and John Abraham),-0.270,-0.300
1,5:13,3,5,MIN 25,0,7,Christian Ponder pass complete short left to Toby Gerhart for 11 yards (tackle by Sean Weatherspoon),-0.300,1.330
1,4:47,1,10,MIN 36,0,7,Toby Gerhart left tackle for 9 yards (tackle by Curtis Lofton),1.330,2.010
1,4:21,2,1,MIN 45,0,7,Toby Gerhart left end for no gain (tackle by Dunta Robinson),2.010,1.290
1,4:03,3,1,MIN 45,0,7,Toby Gerhart right tackle for no gain (tackle by Sean Weatherspoon),1.290,-0.390
1,3:21,4,1,MIN 45,0,7,"Chris Kluwe punts 47 yards, fair catch by Eric Weems",-0.390,0.380
1,3:13,1,10,ATL 8,0,7,Matt Ryan pass complete short left to Michael Palmer for 5 yards (tackle by Asher Allen),-0.380,-0.410
1,2:30,2,5,ATL 13,0,7,Michael Turner left tackle for 7 yards (tackle by Tyrell Johnson and Chad Greenway),-0.410,0.280
1,1:49,1,10,ATL 20,0,7,Matt Ryan pass complete short right to Roddy White for 13 yards (tackle by E.J. Henderson),0.280,1.140
1,1:21,1,10,ATL 33,0,7,"Matt Ryan pass incomplete deep left intended for Julio Jones. Penalty on Julio Jones: Offensive Pass Interference, 10 yards (no play)",1.140,0.480
1,1:12,1,20,ATL 23,0,7,Jacquizz Rodgers left guard for 8 yards (tackle by E.J. Henderson and Kevin Williams),0.480,0.320
1,0:29,2,12,ATL 31,0,7,Matt Ryan pass complete short right to Roddy White for 9 yards (tackle by Marcus Sherels),0.320,0.830
Quarter,Time,Down,ToGo,Location,MIN,ATL,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,3,3,ATL 40,0,7,Matt Ryan pass complete short right to Tony Gonzalez for 6 yards (tackle by Chad Greenway),0.830,1.990
2,14:21,1,10,ATL 46,0,7,Matt Ryan pass incomplete deep right intended for Roddy White,1.990,1.450
2,14:15,2,10,ATL 46,0,7,Matt Ryan pass incomplete short right intended for Roddy White,1.450,0.760
2,14:11,3,10,ATL 46,0,7,Matt Ryan sacked by Everson Griffen for -8 yards,0.760,-0.850
2,13:32,4,18,ATL 38,0,7,"Matt Bosher punts 45 yards, returned by Marcus Sherels for 2 yards (tackle by Akeem Dent). Penalty on Benny Sapp: Offensive Holding, 9 yards, Penalty on Greg Camarillo: Illegal Block Above the Waist (Declined)",-0.850,0.380
2,13:20,1,10,MIN 8,0,7,Christian Ponder pass complete short right to Michael Jenkins for 7 yards,-0.380,-0.210
2,12:49,2,3,MIN 15,0,7,Toby Gerhart left guard for 7 yards (tackle by James Sanders and Curtis Lofton),-0.210,0.410
2,12:12,1,10,MIN 22,0,7,Toby Gerhart left guard for 2 yards (tackle by Stephen Nicholas and Curtis Lofton),0.410,0.140
2,11:31,2,8,MIN 24,0,7,Christian Ponder sacked by Sean Weatherspoon for -9 yards,0.140,-2.050
2,10:58,3,17,MIN 15,0,7,Christian Ponder pass complete short middle to Percy Harvin for 10 yards (tackle by James Sanders),-2.050,-1.700
