Quarter,Time,Tm,Detail,MIN,ATL
1.0,6:08,Falcons,Harry Douglas 27 yard pass from Matt Ryan (Matt Bryant kick),0,7
2.0,4:04,Falcons,Roddy White 6 yard pass from Matt Ryan (Matt Bryant kick),0,14
,0:37,Falcons,Matt Bryant 37 yard field goal,0,17
3.0,3:58,Vikings,Toby Gerhart 1 yard rush (Ryan Longwell kick),7,17
4.0,13:13,Vikings,Percy Harvin 39 yard pass from Christian Ponder (Ryan Longwell kick),14,17
,6:40,Falcons,Michael Palmer 3 yard pass from Matt Ryan (Matt Bryant kick),14,24
