Unnamed: 0,WAS,GNB
First Downs,25,19
Rush-Yds-TDs,29-195-0,15-57-0
Cmp-Att-Yd-TD-INT,25-37-268-1-1,27-35-274-3-0
Sacked-Yards,4-33,3-27
Net Pass Yards,235,247
Total Yards,430,304
Fumbles-Lost,4-1,2-1
Turnovers,2,1
Penalties-Yards,4-50,4-36
Third Down Conv.,4-11,6-12
Fourth Down Conv.,1-4,1-1
Time of Possession,32:54,27:06
