Quarter,Time,Tm,Detail,WAS,GNB
1.0,7:11,Packers,Davante Adams 17 yard pass from Aaron Rodgers (Mason Crosby kick),0,7
,2:26,Football Team,Terry McLaurin 40 yard pass from Taylor Heinicke (Chris Blewitt kick),7,7
2.0,0:15,Packers,Allen Lazard 10 yard pass from Aaron Rodgers (Mason Crosby kick),7,14
3.0,12:30,Packers,Robert Tonyan 20 yard pass from Aaron Rodgers (Mason Crosby kick),7,21
4.0,11:22,Packers,Mason Crosby 39 yard field goal,7,24
,2:25,Football Team,Chris Blewitt 45 yard field goal,10,24
