Unnamed: 0,BUF,WAS
First Downs,21,23
Rush-Yds-TDs,31-240-1,27-123-1
Cmp-Att-Yd-TD-INT,16-27-235-2-0,22-28-319-4-0
Sacked-Yards,5-23,1-11
Net Pass Yards,212,308
Total Yards,452,431
Fumbles-Lost,1-0,1-1
Turnovers,0,1
Penalties-Yards,8-56,5-6
Third Down Conv.,5-13,7-11
Fourth Down Conv.,1-3,0-0
Time of Possession,30:56,29:04
