Quarter,Time,Tm,Detail,NYJ,DAL
1.0,10:49,Cowboys,Dan Bailey 27 yard field goal,0,3
,0:30,Jets,Bilal Powell 12 yard rush (Randy Bullock kick failed),6,3
2.0,7:01,Jets,Randy Bullock 36 yard field goal,9,3
,1:17,Cowboys,Dez Bryant 10 yard pass from Kellen Moore (Dan Bailey kick),9,10
3.0,3:44,Cowboys,Dan Bailey 38 yard field goal,9,13
4.0,8:58,Jets,Eric Decker 3 yard pass from Ryan Fitzpatrick (Randy Bullock kick),16,13
,1:55,Cowboys,Dan Bailey 50 yard field goal,16,16
,0:36,Jets,Randy Bullock 40 yard field goal,19,16
