Unnamed: 0,NYJ,DAL
First Downs,20,15
Rush-Yds-TDs,26-73-1,21-133-0
Cmp-Att-Yd-TD-INT,26-39-299-1-1,18-33-195-1-4
Sacked-Yards,2-0,2-19
Net Pass Yards,299,176
Total Yards,372,309
Fumbles-Lost,0-0,0-0
Turnovers,1,4
Penalties-Yards,8-61,6-54
Third Down Conv.,5-14,2-11
Fourth Down Conv.,0-1,1-1
Time of Possession,32:17,27:43
