Quarter,Time,Down,ToGo,Location,NYJ,DAL,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Cowboys won the coin toss, Cowboys to receive the opening kickoff.",,
1,15:00,,,NYJ 35,0,0,"Randy Bullock kicks off 70 yards, returned by Lucky Whitehead for 26 yards (tackle by Rontez Miles)",0.000,-0.340
1,14:54,1,10,DAL 21,0,0,Matt Cassel pass complete short left to Jason Witten for 15 yards (tackle by Demario Davis),0.340,1.330
1,14:30,1,10,DAL 36,0,0,Darren McFadden middle for no gain (tackle by Leonard Williams),1.330,0.790
1,13:49,2,10,DAL 36,0,0,Lucky Whitehead left end for 33 yards (tackle by Leonard Williams),0.790,3.510
1,13:01,1,10,NYJ 31,0,0,Darren McFadden right guard for 5 yards (tackle by Damon Harrison),3.510,3.640
1,12:24,2,5,NYJ 26,0,0,Darren McFadden right guard for 11 yards (tackle by Demario Davis and Sheldon Richardson),3.640,4.580
1,11:42,1,10,NYJ 15,0,0,Darren McFadden middle for 6 yards (tackle by David Harris),4.580,5.030
1,11:06,2,4,NYJ 9,0,0,Matt Cassel pass incomplete short right intended for Dez Bryant,5.030,4.220
1,11:02,3,4,NYJ 9,0,0,Matt Cassel pass incomplete short left intended for Terrance Williams,4.220,2.900
1,10:50,4,4,NYJ 9,0,3,Dan Bailey 27 yard field goal good,2.900,3.000
1,10:50,,,DAL 35,0,3,"Dan Bailey kicks off 72 yards, returned by Antonio Cromartie for 22 yards (tackle by Andrew Gachkar)",0.000,0.220
1,10:43,1,10,NYJ 15,0,3,Chris Ivory middle for 3 yards (tackle by Sean Lee and Barry Church),-0.220,-0.280
1,9:58,2,7,NYJ 18,0,3,Ryan Fitzpatrick pass incomplete short left intended for Brandon Marshall,-0.280,-1.000
1,9:53,3,7,NYJ 18,0,3,Ryan Fitzpatrick pass incomplete short left intended for Brandon Marshall,-1.000,-2.240
1,9:46,4,7,NYJ 18,0,3,"Ryan Quigley punts 25 yards, out of bounds",-2.240,-2.720
1,9:40,1,10,NYJ 43,0,3,Darren McFadden left end for -2 yards (tackle by Damon Harrison and Erin Henderson),2.720,1.910
1,9:05,2,12,NYJ 45,0,3,"Matt Cassel pass complete short right to Darren McFadden for 5 yards (tackle by David Harris). Penalty on Zack Martin: Illegal Block Above the Waist, 10 yards",1.910,1.230
1,8:42,2,17,NYJ 50,0,3,"Matt Cassel pass incomplete is intercepted by Darrelle Revis at NYJ-41 and returned for 24 yards. Penalty on Zack Martin: Ineligible Downfield Pass (Declined), Penalty on Matt Cassel: Intentional Grounding (Declined)",1.230,-3.250
1,8:29,1,10,DAL 35,0,3,"Penalty on Brian Winters: False Start, 5 yards (no play)",3.250,2.920
1,8:29,1,15,DAL 40,0,3,Ryan Fitzpatrick pass complete short middle to Kenbrell Thompkins for 7 yards (tackle by Greg Hardy),2.920,2.970
1,7:52,2,8,DAL 33,0,3,Ryan Fitzpatrick pass complete short left to Eric Decker for 8 yards (tackle by Anthony Hitchens),2.970,3.910
1,7:09,1,10,DAL 25,0,3,Chris Ivory left guard for 2 yards (tackle by Sean Lee),3.910,3.630
1,6:27,2,8,DAL 23,0,3,Ryan Fitzpatrick pass complete short left to Bilal Powell for 11 yards (tackle by Anthony Hitchens and Brandon Carr),3.630,4.780
1,5:43,1,10,DAL 12,0,3,Chris Ivory left end for 8 yards (tackle by J.J. Wilcox and Brandon Carr),4.780,5.600
1,4:57,2,2,DAL 4,0,3,Chris Ivory middle for -1 yards (tackle by Demarcus Lawrence),5.600,4.610
1,4:10,3,3,DAL 5,0,3,Ryan Fitzpatrick middle for 2 yards (tackle by Jeremy Mincey and Anthony Hitchens),4.610,3.060
1,3:17,4,1,DAL 3,0,3,Chris Ivory middle for -1 yards (tackle by Demarcus Lawrence),3.060,0.380
1,3:13,1,10,DAL 4,0,3,Darren McFadden middle for 4 yards (tackle by Damon Harrison and Muhammad Wilkerson),-0.380,-0.490
1,2:38,2,6,DAL 8,0,3,Matt Cassel pass incomplete deep left intended for Dez Bryant,-0.490,-0.950
1,2:32,3,6,DAL 8,0,3,Matt Cassel pass incomplete short right intended for Terrance Williams,-0.950,-2.490
1,2:24,4,6,DAL 8,0,3,"Chris Jones punts 52 yards, fair catch by Jeremy Kerley",-2.490,-1.600
1,2:18,1,10,NYJ 40,0,3,Bilal Powell middle for 10 yards (tackle by Anthony Hitchens),1.600,2.260
1,1:39,1,10,DAL 50,0,3,Ryan Fitzpatrick pass incomplete deep right intended for Brandon Marshall,2.260,1.710
1,1:31,2,10,DAL 50,0,3,Ryan Fitzpatrick pass incomplete deep middle intended for Eric Decker,1.710,1.030
1,1:24,3,10,DAL 50,0,3,Ryan Fitzpatrick pass complete short middle to Eric Decker for 13 yards (tackle by Byron Jones),1.030,3.120
,,,,,,,"DAL challenged the runner was down by contact ruling, and the play was upheld.",,
1,1:16,1,10,DAL 37,0,3,Ryan Fitzpatrick pass incomplete short left intended for Stevan Ridley,3.120,2.570
1,1:11,2,10,DAL 37,0,3,Ryan Fitzpatrick pass complete deep right to Brandon Marshall for 25 yards (tackle by Brandon Carr),2.570,4.780
1,0:35,1,10,DAL 12,6,3,"Bilal Powell right guard for 12 yards, touchdown",4.780,7.000
1,0:35,,,DAL 12,6,3,Randy Bullock kicks extra point no good,0.000,-1.000
1,0:35,,,NYJ 35,6,3,"Randy Bullock kicks off 67 yards, returned by Lucky Whitehead for 31 yards (tackle by Rontez Miles). Penalty on Jeff Cumberland: Illegal Use of Hands, 5 yards",0.000,-1.200
1,0:30,1,10,DAL 34,6,3,Robert Turbin left end for -1 yards (tackle by Damon Harrison),1.200,0.520
Quarter,Time,Down,ToGo,Location,NYJ,DAL,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,2,11,DAL 33,6,3,Matt Cassel sacked by Calvin Pace for -19 yards,0.520,-3.490
2,14:14,3,30,DAL 14,6,3,Matt Cassel pass complete short left to James Hanna for 17 yards (tackle by Sheldon Richardson),-3.490,-1.310
2,13:30,4,13,DAL 31,6,3,"Chris Jones punts 49 yards, out of bounds",-1.310,-0.280
2,13:21,1,10,NYJ 20,6,3,Chris Ivory left guard for 1 yard (tackle by Tyrone Crawford),0.280,-0.130
2,12:41,2,9,NYJ 21,6,3,Chris Ivory right end for 8 yards (tackle by Sean Lee and Terrance Mitchell),-0.130,0.230
2,11:59,3,1,NYJ 29,6,3,Chris Ivory middle for no gain (tackle by Greg Hardy),0.230,-1.440
2,11:24,4,1,NYJ 29,6,3,"Ryan Quigley punts 45 yards, out of bounds",-1.440,-0.670
2,11:16,1,10,DAL 26,6,3,Darren McFadden middle for 4 yards (tackle by Leonard Williams),0.670,0.670
2,10:43,2,6,DAL 30,6,3,Kellen Moore pass complete short right to Terrance Williams for -1 yards (tackle by Muhammad Wilkerson),0.670,-0.160
2,9:59,3,7,DAL 29,6,3,Kellen Moore pass incomplete deep middle intended for Terrance Williams is intercepted by Marcus Gilchrist at NYJ-45 and returned for 31 yards,-0.160,-3.970
