Quarter,Time,Tm,Detail,BAL,TEN
1.0,10:26,Ravens,Justin Tucker 41 yard field goal,3,0
,5:34,Titans,Nick Folk 26 yard field goal,3,3
,0:04,Ravens,Justin Tucker 28 yard field goal,6,3
2.0,10:13,Ravens,Justin Tucker 23 yard field goal,9,3
,3:28,Ravens,Zay Flowers 10 yard pass from Lamar Jackson (Justin Tucker kick failed),15,3
,0:00,Ravens,Justin Tucker 29 yard field goal,18,3
3.0,9:24,Titans,Nick Folk 27 yard field goal,18,6
,8:24,Titans,Derrick Henry 15 yard rush (Nick Folk kick),18,13
4.0,12:49,Ravens,Justin Tucker 20 yard field goal,21,13
,4:16,Ravens,Justin Tucker 36 yard field goal,24,13
,0:38,Titans,Nick Folk 38 yard field goal,24,16
