Quarter,Time,Down,ToGo,Location,BAL,TEN,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Titans won the coin toss and deferred, Ravens to receive the opening kickoff.",,
1,15:00,,,TEN 35,0,0,"Nick Folk kicks off 65 yards, returned by Devin Duvernay for 27 yards (tackle by Kevin Rader)",0.000,0.740
1,14:55,1,10,BAL 27,0,0,Lamar Jackson pass complete short left to Justice Hill for 2 yards (tackle by Jack Gibbens),0.740,0.470
1,14:22,2,8,BAL 29,0,0,Justice Hill right guard for 4 yards (tackle by Azeez Al-Shaair),0.470,0.300
1,13:37,3,4,BAL 33,0,0,Lamar Jackson pass complete short left to Nelson Agholor for 21 yards (tackle by Sean Murphy-Bunting),0.300,2.520
1,12:55,1,10,TEN 46,0,0,Lamar Jackson pass complete short left to Zay Flowers for 14 yards,2.520,3.450
1,12:21,1,10,TEN 32,0,0,Lamar Jackson pass complete short right to Rashod Bateman for 8 yards (tackle by Kristian Fulton),3.450,3.980
1,11:42,2,2,TEN 24,0,0,Gus Edwards left guard for 1 yard (tackle by Jack Gibbens),3.980,3.400
1,11:15,3,1,TEN 23,0,0,Gus Edwards left guard for no gain (tackle by Jack Gibbens and Jaleel Johnson),3.400,2.080
1,10:30,4,1,TEN 23,3,0,Justin Tucker 41 yard field goal good,2.080,3.000
1,10:26,,,BAL 35,3,0,"Justin Tucker kicks off 65 yards, touchback.",0.000,0.610
1,10:26,1,10,TEN 25,3,0,Ryan Tannehill pass complete short right to Derrick Henry for 7 yards (tackle by Patrick Queen),0.610,1.010
1,9:52,2,3,TEN 32,3,0,Derrick Henry right tackle for 1 yard (tackle by Marlon Humphrey),1.010,0.430
1,9:12,3,2,TEN 33,3,0,"Ryan Tannehill pass incomplete short right intended for DeAndre Hopkins. Penalty on Marlon Humphrey: Defensive Pass Interference, 7 yards (accepted) (no play)",0.430,1.600
1,9:08,1,10,TEN 40,3,0,Derrick Henry right guard for 1 yard (tackle by Broderick Washington),1.600,1.190
1,8:30,2,9,TEN 41,3,0,Ryan Tannehill pass complete short right to Nick Westbrook-Ikhine for 10 yards (tackle by Brandon Stephens),1.190,2.320
1,7:47,1,10,BAL 49,3,0,Ryan Tannehill pass complete short right to Josh Whyle for 11 yards (tackle by Kyle Hamilton and Roquan Smith),2.320,3.050
1,7:16,1,10,BAL 38,3,0,"Ryan Tannehill pass incomplete deep left intended for DeAndre Hopkins. Penalty on Marcus Williams: Defensive Pass Interference, 22 yards (accepted) (no play)",3.050,4.510
1,7:10,1,10,BAL 16,3,0,Derrick Henry left tackle for 2 yards (tackle by Justin Madubuike),4.510,4.210
1,6:25,2,8,BAL 14,3,0,Ryan Tannehill pass incomplete short left intended for Nick Westbrook-Ikhine (defended by Brandon Stephens),4.210,3.370
1,6:19,3,8,BAL 14,3,0,Ryan Tannehill pass complete short left to Chris Moore for 6 yards (tackle by Patrick Queen),3.370,2.990
1,5:38,4,2,BAL 8,3,3,Nick Folk 26 yard field goal good,2.990,3.000
1,5:34,,,TEN 35,3,3,"Nick Folk kicks off 65 yards, returned by Devin Duvernay for 14 yards (tackle by Monty Rice)",0.000,-0.280
1,5:29,1,10,BAL 14,3,3,Gus Edwards left end for 3 yards (tackle by Azeez Al-Shaair and Kristian Fulton),-0.280,-0.370
1,4:51,2,7,BAL 17,3,3,Lamar Jackson pass complete short left to Odell Beckham for 2 yards (tackle by Kristian Fulton),-0.370,-0.800
1,4:06,3,5,BAL 19,3,3,Lamar Jackson pass complete short left to Odell Beckham for 32 yards (tackle by Kevin Byard),-0.800,2.320
1,3:25,1,10,TEN 49,3,3,Lamar Jackson pass complete short right to Nelson Agholor for 19 yards (tackle by Kevin Byard),2.320,3.580
1,2:41,1,10,TEN 30,3,3,Gus Edwards left tackle for 6 yards (tackle by Jaleel Johnson and Kevin Byard),3.580,3.840
1,2:17,2,4,TEN 24,3,3,Gus Edwards right end for 8 yards (tackle by Jeffery Simmons),3.840,4.510
1,1:38,1,10,TEN 16,3,3,Gus Edwards left end for 5 yards (tackle by Azeez Al-Shaair),4.510,4.760
1,0:52,2,5,TEN 11,3,3,Justice Hill right tackle for 1 yard (tackle by Jack Gibbens and Naquan Jones),4.760,4.170
1,0:11,3,4,TEN 10,3,3,Lamar Jackson pass incomplete short left intended for Odell Beckham,4.170,2.840
1,0:07,4,4,TEN 10,6,3,Justin Tucker 28 yard field goal good,2.840,3.000
1,0:04,,,BAL 35,6,3,"Justin Tucker kicks off 58 yards,",0.000,0.610
1,0:04,1,10,TEN 25,6,3,Derrick Henry right guard for 2 yards (tackle by Brent Urban and Roquan Smith),0.610,0.330
Quarter,Time,Down,ToGo,Location,BAL,TEN,Detail,EPB,EPA
