Unnamed: 0,BAL,TEN
First Downs,20,17
Rush-Yds-TDs,39-139-0,19-129-1
Cmp-Att-Yd-TD-INT,21-30-223-1-1,12-21-150-0-1
Sacked-Yards,1-2,6-46
Net Pass Yards,221,104
Total Yards,360,233
Fumbles-Lost,0-0,1-1
Turnovers,1,2
Penalties-Yards,9-88,6-45
Third Down Conv.,8-16,1-9
Fourth Down Conv.,0-0,0-0
Time of Possession,35:42,24:18
