Player,Tm,Att,Yds,TD,1D,YBC,YBC/Att,YAC,YAC/Att,BrkTkl,Att/Br
James Cook,BUF,12,46,0,5,8,0.7,38,3.2,0,
Josh Allen,BUF,6,36,0,3,23,3.8,13,2.2,0,
Latavius Murray,BUF,2,8,0,0,2,1.0,6,3.0,0,
Damien Harris,BUF,1,3,0,,2,2.0,1,1.0,0,
Deonte Harty,BUF,1,4,0,0,3,3.0,1,1.0,0,
Player,Tm,Att,Yds,TD,1D,YBC,YBC/Att,YAC,YAC/Att,BrkTkl,Att/Br
Dalvin Cook,NYJ,13,33,0,2,14,1.1,19,1.5,1,13.0
Breece Hall,NYJ,10,127,0,2,29,2.9,98,9.8,1,10.0
Zach Wilson,NYJ,4,6,0,1,3,0.8,3,0.8,0,
Michael Carter,NYJ,1,6,0,,2,2.0,4,4.0,0,
