Quarter,Time,Down,ToGo,Location,BUF,NYJ,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Jets won the coin toss and deferred, Bills to receive the opening kickoff.",,
1,15:00,,,NYJ 35,0,0,"Greg Zuerlein kicks off 65 yards, touchback.",0.000,0.610
1,15:00,1,10,BUF 25,0,0,Josh Allen pass complete short right to Stefon Diggs for 7 yards (tackle by Sauce Gardner),0.610,1.010
1,14:34,2,3,BUF 32,0,0,Josh Allen pass complete short left to Deonte Harty for 5 yards (tackle by Quincy Williams),1.010,1.400
1,13:58,1,10,BUF 37,0,0,James Cook up the middle for 3 yards (tackle by Jermaine Johnson and John Franklin-Myers),1.400,1.260
1,13:25,2,7,BUF 40,0,0,James Cook up the middle for 2 yards (tackle by John Franklin-Myers and Quinnen Williams),1.260,0.830
1,12:39,3,5,BUF 42,0,0,Josh Allen pass incomplete short left intended for Stefon Diggs,0.830,-0.590
1,12:31,4,5,BUF 42,0,0,"Sam Martin punts 46 yards, fair catch by Xavier Gipson at NYJ-12",-0.590,0.350
1,12:30,1,10,NYJ 12,0,0,Breece Hall left tackle for 26 yards (tackle by Micah Hyde),-0.350,1.470
1,11:53,1,10,NYJ 38,0,0,Aaron Rodgers pass incomplete deep right,1.470,0.920
1,11:48,2,10,NYJ 38,0,0,"Aaron Rodgers pass incomplete short right intended for Tyler Conklin. Penalty on Terrel Bernard: Defensive Holding, 5 yards (accepted) (no play)",0.920,1.800
1,11:40,1,10,NYJ 43,0,0,Aaron Rodgers sacked by Leonard Floyd for -10 yards,1.800,-0.100
1,10:56,2,20,NYJ 33,0,0,Zach Wilson pass complete short left to Garrett Wilson for 7 yards (tackle by Matt Milano and Micah Hyde),-0.100,0.170
1,10:15,3,13,NYJ 40,0,0,Zach Wilson pass complete short left to Michael Carter for 6 yards (tackle by Micah Hyde and Matt Milano),0.170,-0.320
1,9:38,4,7,NYJ 46,0,0,Thomas Morstead punts 31 yards out of bounds,-0.320,-0.540
1,9:24,1,10,BUF 24,0,0,"Penalty on Dawson Knox: False Start, 5 yards (accepted) (no play)",0.540,0.000
1,9:24,1,15,BUF 18,0,0,James Cook right tackle for 5 yards (tackle by Quincy Williams),0.000,-0.070
1,8:51,2,10,BUF 23,0,0,Josh Allen pass complete short right to Deonte Harty for 1 yard (tackle by C.J. Mosley),-0.070,-0.690
1,8:19,3,10,BUF 24,0,0,Josh Allen scrambles up the middle for 14 yards (tackle by D.J. Reed),-0.690,1.470
1,7:25,1,10,BUF 38,0,0,Josh Allen pass complete short left to Deonte Harty for 3 yards (tackle by Adrian Amos),1.470,1.330
1,6:49,2,7,BUF 41,0,0,James Cook up the middle for 8 yards (tackle by D.J. Reed),1.330,2.190
1,6:21,1,10,BUF 49,0,0,Josh Allen pass complete short left to Dawson Knox for 6 yards (tackle by D.J. Reed),2.190,2.460
1,5:44,2,4,NYJ 45,0,0,Josh Allen pass complete short right to Stefon Diggs for 15 yards (tackle by Adrian Amos),2.460,3.580
1,5:08,1,10,NYJ 30,0,0,Josh Allen sacked by John Franklin-Myers for -9 yards,3.580,1.820
1,4:29,2,19,NYJ 39,0,0,Josh Allen pass complete short right to Dawson Knox for 4 yards (tackle by Quinnen Williams and Michael Carter),1.820,1.680
1,3:59,3,15,NYJ 35,0,0,Josh Allen pass complete short left to Damien Harris for 13 yards (tackle by Quincy Williams),1.680,2.120
1,3:09,4,2,NYJ 22,3,0,Tyler Bass 40 yard field goal good,2.120,3.000
1,3:05,,,BUF 35,3,0,"Tyler Bass kicks off 61 yards, returned by Xavier Gipson for 18 yards (tackle by Taylor Rapp)",0.000,0.410
1,3:01,1,10,NYJ 22,3,0,"Zach Wilson pass incomplete short right. Penalty on Mekhi Becton: Ineligible Downfield Pass, 5 yards (declined)",0.410,-0.130
1,2:58,2,10,NYJ 22,3,0,"Penalty on Laken Tomlinson: False Start, 5 yards (accepted) (no play)",-0.130,-0.940
1,2:58,2,15,NYJ 17,3,0,Zach Wilson pass complete short left to Dalvin Cook for 4 yards (tackle by Micah Hyde and Matt Milano),-0.940,-0.960
1,2:15,3,11,NYJ 21,3,0,Zach Wilson pass complete deep right to Allen Lazard for 22 yards (tackle by Jordan Poyer),-0.960,1.800
1,1:33,1,10,NYJ 43,3,0,Dalvin Cook left guard for 5 yards (tackle by Christian Benford and Jordan Poyer),1.800,1.930
1,0:59,2,5,NYJ 48,3,0,Dalvin Cook left end for -4 yards (tackle by Matt Milano),1.930,0.690
1,0:16,3,9,NYJ 44,3,0,Zach Wilson sacked by Jordan Phillips for -12 yards,0.690,-1.240
Quarter,Time,Down,ToGo,Location,BUF,NYJ,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
