Unnamed: 0,BUF,NYJ
First Downs,19,13
Rush-Yds-TDs,22-97-0,28-172-0
Cmp-Att-Yd-TD-INT,29-41-236-1-3,14-22-140-1-1
Sacked-Yards,5-19,3-23
Net Pass Yards,217,117
Total Yards,314,289
Fumbles-Lost,2-1,1-0
Turnovers,4,1
Penalties-Yards,5-40,2-10
Third Down Conv.,5-13,5-13
Fourth Down Conv.,0-0,1-1
Time of Possession,33:08,27:50
