Quarter,Time,Down,ToGo,Location,MIA,CLE,Detail,EPB,EPA
1,6:57,1,10,MIA 16,0,9,Ricky Williams left guard for 11 yards (tackle by Leigh Bodden and Brian Russell),-0.140,0.740
1,6:24,1,10,MIA 27,0,9,Sage Rosenfels pass complete to Chris Chambers for 5 yards (tackle by Chris Crocker),0.740,0.870
1,6:01,2,5,MIA 32,0,9,Ricky Williams left guard for 6 yards (tackle by Leigh Bodden),0.870,1.470
1,5:24,1,10,MIA 38,0,9,Sage Rosenfels pass complete to Wes Welker for 5 yards,1.470,1.600
1,5:01,2,5,MIA 43,0,9,Ricky Williams left tackle for 14 yards,1.600,2.720
1,4:26,1,10,CLE 43,0,9,Ronnie Brown left guard for 6 yards (tackle by Ben Taylor),2.720,2.990
1,3:52,2,4,CLE 37,0,9,Ronnie Brown left tackle for 9 yards (tackle by Leigh Bodden),2.990,3.710
1,3:19,1,10,CLE 28,0,9,Ronnie Brown left guard for 1 yard (tackle by Ben Taylor and Chris Crocker),3.710,3.300
1,2:40,2,9,CLE 27,0,9,Ricky Williams right tackle for 4 yards,3.300,3.140
1,2:01,3,5,CLE 23,0,9,"Sage Rosenfels pass complete to Randy McMichael for 23 yards. Penalty on Randy McMichael: Illegal Touch Pass, 5 yards (no play)",3.140,2.480
1,1:53,3,10,CLE 28,0,9,Sage Rosenfels pass complete to Sammy Morris for -5 yards,2.480,1.150
1,1:53,4,15,CLE 33,0,9,"Penalty on Sage Rosenfels: Delay of Game, 5 yards (no play)",1.150,0.720
1,0:41,4,20,CLE 38,0,9,Donnie Jones punts 28 yards,0.720,0.380
1,0:33,1,10,CLE 10,0,9,Reuben Droughns left guard for -2 yards (tackle by Lance Schulters and Jason Taylor),-0.380,-0.930
Quarter,Time,Down,ToGo,Location,MIA,CLE,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,2,12,CLE 8,0,9,Trent Dilfer pass complete to Braylon Edwards for 25 yards (tackle by Sam Madison and Lance Schulters),-0.930,1.140
2,14:14,1,10,CLE 33,0,9,Reuben Droughns left tackle for -2 yards (tackle by Jason Taylor),1.140,0.320
2,13:36,2,12,CLE 31,0,9,Dennis Northcutt left end for 2 yards (tackle by Junior Seau),0.320,-0.100
2,12:47,3,10,CLE 33,0,9,Trent Dilfer pass complete to Braylon Edwards for 25 yards (tackle by Travares Tillman),-0.100,2.790
2,12:00,1,10,MIA 42,0,9,Trent Dilfer pass incomplete intended for Reuben Droughns,2.790,2.240
2,11:56,2,10,MIA 42,0,9,Reuben Droughns left guard for -5 yards (tackle by Zach Thomas),2.240,0.890
2,11:17,3,15,MIA 47,0,9,Trent Dilfer pass complete to Reuben Droughns for 3 yards (tackle by Jason Taylor and Vonnie Holliday),0.890,0.330
2,10:46,4,12,MIA 44,0,9,Kyle Richardson punts 42 yards,0.330,0.380
2,10:38,1,10,MIA 2,0,9,Ricky Williams left guard for 9 yards (tackle by Daylon McCutcheon),-0.380,-0.120
2,10:06,2,1,MIA 11,0,9,Ricky Williams left guard for 4 yards (tackle by Chris Crocker and Alvin McKinley),-0.120,-0.220
2,9:34,1,10,MIA 15,0,9,Ricky Williams left guard for 3 yards (tackle by Orpheus Roye and Ben Taylor),-0.220,-0.280
2,8:55,2,7,MIA 18,0,9,Ricky Williams right guard for 13 yards,-0.280,1.000
2,8:16,1,10,MIA 31,0,9,Ronnie Brown right tackle for no gain (tackle by Ben Taylor),1.000,0.460
2,7:35,2,10,MIA 31,0,9,Sage Rosenfels pass complete to Lorenzo Diamond for 7 yards,0.460,0.700
2,6:50,3,3,MIA 38,0,9,Sage Rosenfels pass complete to Chris Chambers for 2 yards (tackle by Leigh Bodden),0.700,-0.720
2,6:09,4,1,MIA 40,0,9,"Donnie Jones punts 60 yards, touchback",-0.720,-0.280
2,5:58,1,10,CLE 20,0,9,Charlie Frye pass incomplete intended for Steve Heiden,0.280,-0.270
2,5:53,2,10,CLE 20,0,9,Reuben Droughns right guard for 3 yards (tackle by Lance Schulters),-0.270,-0.560
2,5:25,3,7,CLE 23,0,9,Charlie Frye pass complete to Steve Heiden for 9 yards (tackle by Channing Crowder),-0.560,1.070
2,4:49,1,10,CLE 32,0,9,Charlie Frye pass complete to Steve Heiden for 8 yards (tackle by Channing Crowder and Zach Thomas),1.070,1.610
2,4:17,2,2,CLE 40,0,9,Reuben Droughns left tackle for 5 yards (tackle by Channing Crowder and Yeremiah Bell),1.610,1.930
2,3:35,1,10,CLE 45,0,9,Charlie Frye pass complete to Braylon Edwards for 15 yards (tackle by Travares Tillman and Yeremiah Bell),1.930,2.920
2,2:53,1,10,MIA 40,0,9,Reuben Droughns left tackle for 7 yards (tackle by Sam Madison and Channing Crowder),2.920,3.320
2,2:11,2,3,MIA 33,0,9,Reuben Droughns left tackle for 2 yards (tackle by Sammy Morris),3.320,2.870
2,2:00,3,1,MIA 31,0,9,Charlie Frye pass incomplete intended for Braylon Edwards (defended by Sam Madison),2.870,1.410
2,1:54,4,1,MIA 31,0,9,Reuben Droughns right tackle for 3 yards (tackle by Travis Daniels),1.410,3.710
2,1:12,1,10,MIA 28,0,9,Charlie Frye pass incomplete intended for Antonio Bryant,3.710,3.170
2,1:06,,,,0,9,Timeout #1 by Miami Dolphins,0.000,3.170
2,1:06,2,10,MIA 28,0,9,Reuben Droughns left tackle for no gain (tackle by Sam Madison and Travares Tillman),3.170,2.480
2,0:38,3,10,MIA 28,0,9,Charlie Frye pass complete to Dennis Northcutt for 5 yards (tackle by Travis Daniels),2.480,1.980
2,0:01,,,,0,9,Timeout #1 by Cleveland Browns,0.000,1.980
2,0:01,4,5,MIA 23,0,12,Phil Dawson 40 yard field goal good,1.980,3.000
Quarter,Time,Down,ToGo,Location,MIA,CLE,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,MIA 30,0,12,"Olindo Mare kicks off 58 yards, returned by Josh Cribbs for 16 yards (tackle by Yeremiah Bell). Penalty on Orlando Ruff: Offensive Holding, 10 yards",0.000,0.040
3,14:55,1,10,CLE 18,0,12,Reuben Droughns right tackle for 10 yards (tackle by Lance Schulters and Travares Tillman),0.040,0.810
3,14:15,1,10,CLE 28,0,12,Trent Dilfer pass incomplete intended for Antonio Bryant,0.810,0.260
3,14:11,2,10,CLE 28,0,12,Reuben Droughns right guard for 13 yards (tackle by Travares Tillman and Travis Daniels),0.260,1.660
3,13:34,1,10,CLE 41,0,12,Reuben Droughns left guard for 2 yards (tackle by Derrick Pope and Junior Seau),1.660,1.390
3,12:52,2,8,CLE 43,0,12,Reuben Droughns right guard for 4 yards (tackle by Keith Traylor),1.390,1.220
3,12:11,3,4,CLE 47,0,12,"Trent Dilfer pass incomplete intended for Antonio Bryant. Penalty on Sam Madison: Defensive Pass Interfere, 8 yards (no play)",1.220,2.590
3,11:59,1,10,MIA 45,0,12,Reuben Droughns right guard for 1 yard (tackle by Jeff Zgonina),2.590,2.180
3,11:22,2,9,MIA 44,0,12,Trent Dilfer pass incomplete intended for Reuben Droughns (defended by Junior Seau),2.180,1.490
3,11:18,3,9,MIA 44,0,12,Trent Dilfer pass complete to Braylon Edwards for 4 yards (tackle by David Bowens),1.490,0.590
3,10:40,4,5,MIA 40,0,12,"Kyle Richardson punts 37 yards. Penalty on MIA: Defensive 12 On-field, 5 yards (no play)",0.590,3.250
3,10:31,1,10,MIA 35,0,12,Trent Dilfer pass incomplete intended for Reuben Droughns,3.250,2.700
3,10:27,2,10,MIA 35,0,12,Reuben Droughns right guard for 2 yards (tackle by Keith Traylor and Kevin Carter),2.700,2.280
3,9:45,3,8,MIA 33,0,12,"Trent Dilfer pass incomplete intended for Antonio Bryant. Penalty on Travis Daniels: Defensive Pass Interfere (Offsetting), Penalty on Cosey Coleman: Illegal Use of Hands (Offsetting) (no play)",2.280,2.280
3,9:39,3,8,MIA 33,0,12,"Trent Dilfer pass complete to Steve Heiden for 12 yards (tackle by Yeremiah Bell). Penalty on Steve Heiden: Offensive Pass Interfere, 10 yards (no play)",2.280,0.960
3,8:49,3,18,MIA 43,0,12,Reuben Droughns right guard for 5 yards (tackle by David Bowens),0.960,0.720
3,8:49,4,13,MIA 38,0,12,"Kyle Richardson punts 38 yards, touchback",0.720,-0.280
3,8:31,1,10,MIA 20,0,12,Ronnie Brown right tackle for 4 yards,0.280,0.270
3,7:56,2,6,MIA 24,0,12,Sage Rosenfels pass incomplete intended for Marty Booker,0.270,-0.430
3,7:50,3,6,MIA 24,0,12,"Penalty on Marty Booker: False Start, 5 yards (no play)",-0.430,-1.140
3,7:50,3,11,MIA 19,0,12,Sage Rosenfels pass incomplete intended for Chris Chambers,-1.140,-2.140
3,7:45,4,11,MIA 19,0,12,Donnie Jones punts 46 yards (tackle by Donnie Jones),-2.140,-3.710
3,7:31,1,10,MIA 28,0,12,Trent Dilfer left tackle for 2 yards (tackle by Derrick Pope),3.710,3.440
3,6:49,2,8,MIA 26,0,12,Reuben Droughns left guard for 11 yards (tackle by Lance Schulters),3.440,4.580
3,6:08,1,10,MIA 15,0,12,Trent Dilfer pass incomplete intended for Antonio Bryant,4.580,3.950
3,6:03,2,10,MIA 15,0,12,Trent Dilfer pass complete to Steve Heiden for 9 yards (tackle by Travares Tillman and Sam Madison),3.950,4.900
3,5:31,3,1,MIA 6,0,18,"Trent Dilfer pass complete to Terrelle Smith for 6 yards, touchdown",4.900,7.000
3,,,,MIA 2,0,19,Phil Dawson kicks extra point good,0.000,0.000
3,,,,CLE 30,0,19,"Phil Dawson kicks off 70 yards, touchback. Penalty on Chris Crocker: Offside on Free Kick, 5 yards (no play)",0.000,0.000
3,,,,CLE 25,0,19,"Phil Dawson kicks off 55 yards, returned by Travis Minor for 19 yards (tackle by Nick Speegle)",0.000,1.530
3,5:17,1,10,MIA 39,0,19,Sage Rosenfels pass incomplete intended for Chris Chambers is intercepted by Chris Crocker at CLE-47 and returned for 11 yards,1.530,-2.790
3,5:10,1,10,MIA 42,0,19,Trent Dilfer pass complete to Antonio Bryant for 16 yards (tackle by Lance Schulters and Travis Daniels),2.790,3.840
3,4:26,1,10,MIA 26,0,19,Jason Wright right guard for 5 yards (tackle by Junior Seau and Jeff Zgonina),3.840,3.970
3,3:48,2,5,MIA 21,0,19,Trent Dilfer pass complete to Antonio Bryant for 8 yards (tackle by Lance Schulters),3.970,4.710
3,3:08,1,10,MIA 13,0,19,Trent Dilfer pass complete to Steve Heiden for 5 yards (tackle by Derrick Pope and Travares Tillman),4.710,4.960
3,2:29,2,5,MIA 8,0,19,Jason Wright right guard for 1 yard (tackle by Keith Traylor and Derrick Pope),4.960,4.330
3,1:43,3,4,MIA 7,0,19,Trent Dilfer pass incomplete intended for Aaron Shea,4.330,2.990
3,1:39,4,4,MIA 7,0,22,Phil Dawson 24 yard field goal good,2.990,3.000
3,,,,CLE 30,0,22,"Phil Dawson kicks off 59 yards, returned by Wes Welker for 14 yards (tackle by Chris Crocker)",0.000,0.610
3,1:31,1,10,MIA 25,0,22,Ricky Williams right guard for 5 yards (tackle by Orpheus Roye),0.610,0.740
3,1:01,2,5,MIA 30,0,22,Gus Frerotte sacked by Alvin McKinley for -5 yards,0.740,-0.620
3,1:01,3,10,MIA 25,0,22,"Penalty on Gus Frerotte: Delay of Game, 5 yards (no play)",-0.620,-1.290
3,1:01,3,15,MIA 20,0,22,"Penalty on Nick Eason: Neutral Zone Infraction, 5 yards (no play)",-1.290,-0.620
Quarter,Time,Down,ToGo,Location,MIA,CLE,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,3,10,MIA 25,0,22,Gus Frerotte pass incomplete intended for Bryan Gilmore (defended by Daylon McCutcheon),-0.620,-1.700
4,14:54,4,10,MIA 25,0,22,"Donnie Jones punts 46 yards, returned by Dennis Northcutt for 10 yards (tackle by Jason Glenn)",-1.700,-1.530
4,14:43,1,10,CLE 39,0,22,Charlie Frye pass incomplete is intercepted by Travares Tillman at MIA-48 and returned for 16 yards,1.530,-3.180
4,14:35,1,10,CLE 36,0,22,Gus Frerotte pass incomplete intended for Randy McMichael,3.180,2.640
4,14:31,2,10,CLE 36,0,22,Gus Frerotte pass incomplete intended for Chris Chambers,2.640,1.950
4,14:26,3,10,CLE 36,0,22,Gus Frerotte sacked by Chaun Thompson for -7 yards,1.950,0.400
4,14:03,4,17,CLE 43,0,22,"Donnie Jones punts 43 yards, touchback",0.400,-0.280
4,13:53,1,10,CLE 20,0,22,Reuben Droughns right tackle for 2 yards (tackle by Travares Tillman),0.280,0.000
4,13:13,2,8,CLE 22,0,22,Reuben Droughns right guard for 1 yard (tackle by Jeff Zgonina and Junior Seau),0.000,-0.560
4,13:13,3,7,CLE 23,0,22,"Penalty on Charlie Frye: Delay of Game, 5 yards (no play)",-0.560,-1.330
4,12:08,3,12,CLE 18,0,22,Charlie Frye pass complete to Braylon Edwards for 15 yards (tackle by Travis Daniels),-1.330,1.140
4,11:15,1,10,CLE 33,0,22,Charlie Frye pass incomplete intended for Antonio Bryant,1.140,0.590
4,11:09,2,10,CLE 33,0,22,Jason Wright left guard for 2 yards (tackle by Sam Madison and Channing Crowder),0.590,0.170
4,10:28,3,8,CLE 35,0,22,Charlie Frye pass complete to Braylon Edwards for 6 yards (tackle by Travis Daniels),0.170,-0.650
4,9:55,4,2,CLE 41,0,22,"Kyle Richardson punts 34 yards, returned by Wes Welker for 13 yards (tackle by Corey McIntyre)",-0.650,-1.470
4,9:47,1,10,MIA 38,0,22,Ronnie Brown right tackle for 6 yards,1.470,1.730
4,9:15,2,4,MIA 44,0,22,Ronnie Brown right tackle for 3 yards,1.730,1.420
4,8:39,3,1,MIA 47,0,22,Ronnie Brown left tackle for 5 yards (tackle by Matt Stewart),1.420,2.390
4,8:02,1,10,CLE 48,0,22,Gus Frerotte pass incomplete intended for Chris Chambers,2.390,1.850
4,7:56,2,10,CLE 48,0,22,Ronnie Brown left tackle for 6 yards (tackle by Chaun Thompson and Leigh Bodden),1.850,1.950
4,7:31,3,4,CLE 42,0,22,Gus Frerotte pass incomplete intended for Marty Booker,1.950,0.460
4,7:27,4,4,CLE 42,0,22,Gus Frerotte pass complete to Wes Welker for 7 yards (tackle by Chris Crocker),0.460,3.250
4,7:05,1,10,CLE 35,0,22,"Gus Frerotte pass incomplete intended for Chris Chambers. Gus Frerotte fumbles, recovered by Gus Frerotte at CLE-35",3.250,2.700
4,6:53,2,10,CLE 35,0,22,Ricky Williams right guard for 8 yards (tackle by Nick Eason),2.700,3.070
4,6:23,3,2,CLE 27,0,22,Ricky Williams right guard for 3 yards (tackle by Ben Taylor and Alvin McKinley),3.070,3.970
4,5:53,1,10,CLE 24,0,22,Gus Frerotte pass incomplete intended for Randy McMichael,3.970,3.430
4,5:49,2,10,CLE 24,0,22,Ricky Williams left guard for 6 yards,3.430,3.570
4,5:20,3,4,CLE 18,0,22,Gus Frerotte pass incomplete intended for Marty Booker (defended by Leigh Bodden),3.570,2.320
4,5:14,4,4,CLE 18,0,22,Gus Frerotte pass complete to Chris Chambers for 5 yards,2.320,4.710
4,4:56,1,10,CLE 13,0,22,Gus Frerotte pass incomplete intended for Randy McMichael,4.710,4.050
4,4:52,2,10,CLE 13,0,22,Gus Frerotte pass complete to Ronnie Brown for 2 yards (tackle by Simon Fraser and Ben Taylor),4.050,3.450
4,4:13,3,8,CLE 11,0,22,"Gus Frerotte pass complete to Marty Booker for 5 yards (tackle by Leigh Bodden and Brian Russell). Penalty on Jeno James: Illegal Use of Hands, 10 yards (no play)",3.450,2.410
4,4:06,3,18,CLE 21,0,22,Gus Frerotte pass incomplete intended for Marty Booker (defended by Leigh Bodden),2.410,2.060
4,4:01,4,18,CLE 21,0,22,Gus Frerotte pass incomplete intended for Marty Booker (defended by Ray Mickens),2.060,-0.340
4,3:56,1,10,CLE 21,0,22,Reuben Droughns right guard for no gain (tackle by Vonnie Holliday and Jeff Zgonina),0.340,-0.200
4,3:49,,,,0,22,Timeout #1 by Miami Dolphins,0.000,-0.200
4,3:49,2,10,CLE 21,0,22,Reuben Droughns left guard for 2 yards (tackle by Channing Crowder),-0.200,-0.630
4,3:42,,,,0,22,Timeout #2 by Miami Dolphins,0.000,-0.630
4,3:42,3,8,CLE 23,0,22,Trent Dilfer right guard for 3 yards (tackle by Jason Taylor),-0.630,-1.630
4,3:34,,,,0,22,Timeout #3 by Miami Dolphins,0.000,-1.630
4,3:34,4,5,CLE 26,0,22,"Kyle Richardson punts 30 yards, returned by Wes Welker for 10 yards (tackle by Aaron Shea)",-1.630,-2.520
4,3:25,1,10,CLE 46,0,22,Gus Frerotte pass complete to Bryan Gilmore for 39 yards (tackle by Brian Russell),2.520,5.600
4,2:52,1,7,CLE 7,0,22,Ricky Williams right guard for -3 yards,5.600,4.190
4,2:21,2,10,CLE 10,0,22,Gus Frerotte pass incomplete intended for Randy McMichael,4.190,3.130
4,2:17,3,10,CLE 10,0,22,Gus Frerotte pass incomplete intended for Chris Chambers,3.130,2.760
4,2:13,4,10,CLE 10,0,22,Gus Frerotte pass incomplete intended for Marty Booker,2.760,0.380
4,2:09,1,10,CLE 10,0,22,Terrelle Smith left guard for 2 yards (tackle by Jason Taylor and Kevin Carter),-0.380,-0.630
4,2:00,2,8,CLE 12,0,22,Reuben Droughns right tackle for 7 yards (tackle by Travares Tillman),-0.630,-0.370
4,1:54,,,,0,22,Timeout #1 by Cleveland Browns,0.000,-0.370
4,1:54,3,1,CLE 19,0,22,Reuben Droughns left guard for 1 yard (tackle by Channing Crowder and Keith Traylor),-0.370,0.280
4,1:14,1,10,CLE 20,0,22,Trent Dilfer kneels for -1 yards,0.280,-0.460
4,0:33,2,11,CLE 19,0,22,Trent Dilfer kneels for -1 yards,-0.460,-1.330
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
