Unnamed: 0,MIA,CLE
First Downs,12,19
Rush-Yds-TDs,25-139-0,39-181-1
Cmp-Att-Yd-TD-INT,9-28-67-0-2,17-29-195-1-1
Sacked-Yards,2-12,0-0
Net Pass Yards,55,195
Total Yards,194,376
Fumbles-Lost,1-0,0-0
Turnovers,2,1
Penalties-Yards,7-43,5-35
Third Down Conv.,2-12,7-16
Fourth Down Conv.,2-4,1-1
Time of Possession,24:32,35:28
