Quarter,Time,Tm,Detail,SEA,BAL
2.0,13:06,Ravens,Gus Edwards 4 yard rush (Justin Tucker kick),0,7
,2:39,Ravens,Gus Edwards 3 yard rush (Justin Tucker kick),0,14
,0:59,Seahawks,Jason Myers 33 yard field goal,3,14
,0:04,Ravens,Justin Tucker 37 yard field goal,3,17
3.0,12:44,Ravens,Justin Tucker 45 yard field goal,3,20
,3:28,Ravens,Justin Tucker 31 yard field goal,3,23
,0:29,Ravens,Keaton Mitchell 40 yard rush (Justin Tucker kick),3,30
4.0,8:14,Ravens,Odell Beckham Jr. 6 yard pass from Tyler Huntley (Justin Tucker kick),3,37
