Unnamed: 0,SEA,BAL
First Downs,6,29
Rush-Yds-TDs,15-28-0,41-298-3
Cmp-Att-Yd-TD-INT,13-28-157-0-1,26-33-225-1-0
Sacked-Yards,4-34,1-8
Net Pass Yards,123,217
Total Yards,151,515
Fumbles-Lost,1-1,3-2
Turnovers,2,2
Penalties-Yards,5-29,3-11
Third Down Conv.,1-12,6-13
Fourth Down Conv.,0-1,1-2
Time of Possession,19:56,40:04
