Quarter,Time,Down,ToGo,Location,SEA,BAL,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Ravens won the coin toss and deferred, Seahawks to receive the opening kickoff.",,
1,15:00,,,BAL 35,0,0,"Justin Tucker kicks off 65 yards, touchback.",0.000,0.610
1,15:00,1,10,SEA 25,0,0,Kenneth Walker left tackle for 2 yards (tackle by Justin Madubuike and Broderick Washington),0.610,0.330
1,14:21,2,8,SEA 27,0,0,Kenneth Walker left end for 4 yards (tackle by Patrick Queen and Marlon Humphrey),0.330,0.170
1,13:38,3,4,SEA 31,0,0,Geno Smith pass incomplete short right intended for Jaxon Smith-Njigba,0.170,-1.310
1,13:34,4,4,SEA 31,0,0,"Michael Dickson punts 49 yards, fair catch by Devin Duvernay at BAL-20",-1.310,-0.280
1,13:27,1,10,BAL 20,0,0,Lamar Jackson pass complete short middle to Mark Andrews for 13 yards (tackle by Jordyn Brooks and Bobby Wagner),0.280,1.140
1,12:46,1,10,BAL 33,0,0,Gus Edwards left guard for 2 yards (tackle by Bobby Wagner),1.140,0.860
1,12:04,2,8,BAL 35,0,0,"Penalty on Kevin Zeitler: False Start, 5 yards (accepted) (no play)",0.860,0.190
1,11:48,2,13,BAL 30,0,0,Lamar Jackson pass incomplete short middle intended for Odell Beckham,0.190,-0.490
1,11:44,3,13,BAL 30,0,0,Lamar Jackson pass incomplete deep right intended for Rashod Bateman,-0.490,-1.370
1,11:38,4,13,BAL 30,0,0,"Jordan Stout punts 47 yards, returned by DeeJay Dallas for 8 yards (tackle by Trenton Simpson)",-1.370,-1.000
1,11:29,1,10,SEA 31,0,0,Kenneth Walker left tackle for 2 yards (tackle by Jadeveon Clowney),1.000,0.730
1,10:49,2,8,SEA 33,0,0,Geno Smith pass complete deep left to Tyler Lockett for 18 yards,0.730,2.320
1,10:19,1,10,BAL 49,0,0,Geno Smith scrambles up the middle for 5 yards (tackle by Arthur Maulet),2.320,2.460
1,9:38,2,5,BAL 44,0,0,Kenneth Walker left tackle for 1 yard (tackle by Jadeveon Clowney),2.460,1.880
1,8:58,3,4,BAL 43,0,0,Geno Smith pass incomplete short right intended for Tyler Lockett (defended by Jadeveon Clowney),1.880,0.400
1,8:54,4,4,BAL 43,0,0,Michael Dickson punts 39 yards downed by Nick Bellore,0.400,0.380
1,8:46,1,10,BAL 4,0,0,Lamar Jackson right tackle for -2 yards (tackle by Mario Edwards),-0.380,-0.930
1,8:15,2,12,BAL 2,0,0,Gus Edwards right tackle for 1 yard (tackle by Jarran Reed),-0.930,-1.540
1,7:27,3,11,BAL 3,0,0,"Penalty on BAL: Delay of Game, 1 yard (accepted) (no play)",-1.540,-1.650
1,7:17,3,12,BAL 2,0,0,Lamar Jackson pass complete short left to Rashod Bateman for 9 yards (tackle by Riq Woolen),-1.650,-2.490
1,6:42,4,3,BAL 11,0,0,"Jordan Stout punts 66 yards, returned by DeeJay Dallas for 10 yards (tackle by Tylan Wallace)",-2.490,-1.140
1,6:30,1,10,SEA 33,0,0,Geno Smith pass complete short middle to Colby Parkinson for 6 yards (tackle by Kyle Hamilton),1.140,1.400
1,5:52,2,4,SEA 39,0,0,Zach Charbonnet left guard for 1 yard (tackle by Kyle Hamilton),1.400,0.830
1,5:11,3,3,SEA 40,0,0,Geno Smith pass complete short left to Tyler Lockett for 7 yards (tackle by Brandon Stephens),0.830,2.060
1,4:47,1,10,SEA 47,0,0,Zach Charbonnet left guard for 4 yards (tackle by Kyle Hamilton and Roquan Smith),2.060,2.060
1,4:20,2,6,BAL 49,0,0,"Penalty on Jason Peters: False Start, 5 yards (accepted) (no play)",2.060,1.380
1,4:04,2,11,SEA 46,0,0,Geno Smith pass incomplete short right intended for Tyler Lockett,1.380,0.700
1,4:01,3,11,SEA 46,0,0,"Geno Smith sacked by Justin Madubuike for -7 yards. Penalty on Jason Peters: Offensive Holding, 10 yards (declined)",0.700,-0.780
1,3:47,4,18,SEA 39,0,0,"Michael Dickson punts 42 yards, fair catch by Devin Duvernay at BAL-19",-0.780,-0.150
1,3:41,1,10,BAL 19,0,0,Lamar Jackson scrambles left end for 5 yards (tackle by Dre'Mont Jones),0.150,0.340
1,2:57,2,5,BAL 24,0,0,Lamar Jackson pass complete short middle to Isaiah Likely for 17 yards (tackle by Jordyn Brooks),0.340,1.660
1,2:21,1,10,BAL 41,0,0,Justice Hill right guard for 6 yards (tackle by Jordyn Brooks),1.660,1.930
1,2:01,2,4,BAL 47,0,0,Justice Hill right tackle for -1 yards (tackle by Derick Hall),1.930,1.090
1,1:19,3,5,BAL 46,0,0,Lamar Jackson pass complete short right to Odell Beckham for 8 yards (tackle by Devon Witherspoon),1.090,2.520
1,0:58,1,10,SEA 46,0,0,Lamar Jackson pass incomplete deep right intended for Rashod Bateman,2.520,1.980
1,0:54,2,10,SEA 46,0,0,Lamar Jackson pass complete short left to Mark Andrews for 9 yards (tackle by Jordyn Brooks),1.980,2.480
1,0:20,3,1,SEA 37,0,0,Justice Hill up the middle for 5 yards (tackle by Boye Mafe),2.480,3.450
Quarter,Time,Down,ToGo,Location,SEA,BAL,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,1,10,SEA 32,0,0,Lamar Jackson right end for 10 yards (tackle by Devon Witherspoon and Julian Love),3.450,4.110
2,14:20,1,10,SEA 22,0,0,Lamar Jackson pass complete short middle to Mark Andrews for 9 yards (tackle by Devon Witherspoon and Bobby Wagner),4.110,5.060
2,13:45,2,1,SEA 13,0,0,Lamar Jackson left end for 9 yards (tackle by Riq Woolen),5.060,6.280
2,13:09,1,4,SEA 4,0,6,"Gus Edwards for 4 yards, touchdown",6.280,7.000
2,13:06,,,SEA 15,0,7,Justin Tucker kicks extra point good,0.000,0.000
2,13:06,,,BAL 35,0,7,"Justin Tucker kicks off 66 yards, returned by D'Wayne Eskridge for 27 yards (tackle by Keaton Mitchell)",0.000,0.670
2,13:01,1,10,SEA 26,0,7,Geno Smith pass incomplete short right intended for Will Dissly (defended by Jadeveon Clowney),0.670,0.130
2,12:55,2,10,SEA 26,0,7,Kenneth Walker up the middle for 6 yards (tackle by Patrick Queen),0.130,0.230
2,12:12,3,4,SEA 32,0,7,Geno Smith pass deep left intended for Tyler Lockett is intercepted by Geno Stone at BAL-41 and returned for no gain,0.230,-1.660
2,12:05,1,10,BAL 41,0,7,Lamar Jackson scrambles right end for 23 yards (tackle by Boye Mafe),1.660,3.180
2,11:18,1,10,SEA 36,0,7,Lamar Jackson pass complete short right to Mark Andrews for 6 yards (tackle by Tre Brown),3.180,3.450
2,10:42,2,4,SEA 30,0,7,"Lamar Jackson sacked by Boye Mafe for -8 yards. Lamar Jackson fumbles (forced by Boye Mafe), recovered by Boye Mafe at SEA-37 (tackle by Boye Mafe)",3.450,-1.400
2,10:33,1,10,SEA 37,0,7,Kenneth Walker right end for 2 yards (tackle by Roquan Smith),1.400,1.130
2,9:55,2,8,SEA 39,0,7,Geno Smith sacked by Odafe Oweh for -6 yards,1.130,-0.360
2,9:13,3,14,SEA 33,0,7,Geno Smith pass complete short left to Jaxon Smith-Njigba for 5 yards (tackle by Justin Madubuike),-0.360,-0.850
2,8:39,4,9,SEA 38,0,7,"Michael Dickson punts 49 yards, returned by Devin Duvernay for 3 yards (tackle by Nick Bellore)",-0.850,0.140
2,8:27,1,10,BAL 16,0,7,Lamar Jackson pass complete short left to Nelson Agholor for 2 yards (tackle by Jordyn Brooks),-0.140,-0.350
2,7:51,2,8,BAL 18,0,7,Keaton Mitchell right guard for 11 yards (tackle by Jordyn Brooks),-0.350,0.870
2,7:27,1,10,BAL 29,0,7,Lamar Jackson pass complete short middle to Odell Beckham for 13 yards (tackle by Bobby Wagner),0.870,1.730
2,6:56,1,10,BAL 42,0,7,Keaton Mitchell left guard for 9 yards (tackle by Quandre Diggs),1.730,2.400
2,6:17,2,1,SEA 49,0,7,Keaton Mitchell left guard for 9 yards (tackle by Quandre Diggs),2.400,2.920
2,5:36,1,10,SEA 40,0,7,Lamar Jackson right end for 12 yards (tackle by Devon Witherspoon),2.920,3.710
2,4:55,1,10,SEA 28,0,7,Justice Hill right guard for 3 yards (tackle by Jordyn Brooks),3.710,3.570
2,4:18,,,,,,Timeout #1 by Seattle Seahawks,,
2,4:18,2,7,SEA 25,0,7,Keaton Mitchell up the middle for 8 yards (tackle by Derick Hall),3.570,4.440
2,3:38,1,10,SEA 17,0,7,Lamar Jackson pass complete short middle to Zay Flowers for 11 yards (tackle by Boye Mafe and Bobby Wagner),4.440,5.830
2,2:49,1,6,SEA 6,0,7,"Lamar Jackson for no gain. Penalty on Tre Brown: Illegal Use of Hands / Defense, 3 yards (accepted) (no play)",5.830,6.510
2,2:44,1,3,SEA 3,0,13,"Gus Edwards right guard for 3 yards, touchdown",6.510,7.000
2,2:39,,,SEA 15,0,14,Justin Tucker kicks extra point good,0.000,0.000
2,2:39,,,BAL 35,0,14,"Justin Tucker kicks off 65 yards, touchback.",0.000,0.610
