Player,Tm,Int,Tgt,Cmp,Cmp%,Yds,Yds/Cmp,Yds/Tgt,TD,Rat,DADOT,Air,YAC,Bltz,Hrry,QBKD,Sk,Prss,Comb,MTkl,MTkl%
Devon Witherspoon,SEA,0,7,6,85.7%,56,9.3,8.0,0,100.0,4.4,16,40,0,0,0,0.0,0,6,2,25.0%
Riq Woolen,SEA,0,8,5,62.5%,48,9.6,6.0,1,118.7,12.8,40,8,0,0,0,0.0,0,6,0,0.0%
Jordyn Brooks,SEA,0,5,4,80.0%,41,10.3,8.2,0,100.8,9.6,23,18,0,0,0,0.0,0,10,0,0.0%
Tre Brown,SEA,0,3,2,66.7%,21,10.5,7.0,0,86.8,18.3,20,1,0,0,0,0.0,0,3,1,25.0%
Bobby Wagner,SEA,0,2,2,100.0%,25,12.5,12.5,0,118.7,7.0,14,11,0,0,0,0.0,0,9,0,0.0%
Jamal Adams,SEA,0,2,2,100.0%,-2,-1.0,-1.0,0,79.2,-2.0,-4,2,1,0,0,0.0,0,3,2,40.0%
Julian Love,SEA,0,2,2,100.0%,20,10.0,10.0,0,108.3,10.0,20,0,0,0,0,0.0,0,5,0,0.0%
Boye Mafe,SEA,0,1,1,100.0%,3,3.0,3.0,0,79.2,-1.0,-1,4,0,0,0,1.0,1,6,0,0.0%
Jon Rhattigan,SEA,0,1,1,100.0%,13,13.0,13.0,0,118.7,3.0,3,10,0,0,0,0.0,0,5,1,16.7%
Quandre Diggs,SEA,0,1,1,100.0%,0,0.0,0.0,0,79.2,0.0,0,0,0,0,0,0.0,0,6,0,0.0%
Player,Tm,Int,Tgt,Cmp,Cmp%,Yds,Yds/Cmp,Yds/Tgt,TD,Rat,DADOT,Air,YAC,Bltz,Hrry,QBKD,Sk,Prss,Comb,MTkl,MTkl%
Arthur Maulet,BAL,0,4,2,50.0%,53,26.5,13.3,0,95.8,13.5,46,7,0,0,0,0.0,0,2,0,0.0%
Kyle Hamilton,BAL,0,5,2,40.0%,11,5.5,2.2,0,47.9,0.6,3,8,0,0,0,0.0,0,3,0,0.0%
Roquan Smith,BAL,0,2,2,100.0%,58,29.0,29.0,0,118.7,15.5,31,27,0,0,0,0.0,0,5,0,0.0%
Brandon Stephens,BAL,0,3,2,66.7%,14,7.0,4.7,0,77.1,7.7,14,0,0,0,0,0.0,0,2,0,0.0%
Geno Stone,BAL,1,4,2,50.0%,10,5.0,2.5,0,16.7,14.5,10,0,0,0,0,0.0,0,1,0,0.0%
Odafe Oweh,BAL,0,1,1,100.0%,5,5.0,5.0,0,87.5,-4.0,-4,9,0,0,0,1.0,1,2,0,0.0%
Patrick Queen,BAL,0,2,1,50.0%,5,5.0,2.5,0,56.2,4.5,0,5,2,0,0,0.0,0,6,0,0.0%
Tavius Robinson,BAL,0,1,1,100.0%,1,1.0,1.0,0,79.2,0.0,0,1,0,0,0,0.0,0,2,0,0.0%
Kyle Van Noy,BAL,0,0,0,,,,,,,,,,0,0,1,2.0,3,2,0,0.0%
Justin Madubuike,BAL,0,0,0,,,,,,,,,,0,0,0,1.0,1,4,0,0.0%
Marlon Humphrey,BAL,0,4,0,0.0%,,,0.0,,39.6,7.5,,,0,0,0,0.0,0,1,0,0.0%
Daryl Worley,BAL,0,2,0,0.0%,,,0.0,,39.6,7.5,,,0,0,0,0.0,0,0,0,
