Player,Tm,Att,Yds,TD,1D,YBC,YBC/Att,YAC,YAC/Att,BrkTkl,Att/Br
Josh Jacobs,LVR,31,129,0,10,86,2.8,43,1.4,1,31.0
Derek Carr,LVR,6,41,0,2,38,6.3,3,0.5,1,6.0
Devontae Booker,LVR,5,29,0,1,17,3.4,12,2.4,0,
Alec Ingold,LVR,1,3,0,1,1,1.0,2,2.0,0,
Jalen Richard,LVR,1,6,0,1,3,3.0,3,3.0,0,
Henry Ruggs III,LVR,1,1,0,,0,0.0,1,1.0,0,
Player,Tm,Att,Yds,TD,1D,YBC,YBC/Att,YAC,YAC/Att,BrkTkl,Att/Br
Kareem Hunt,CLE,14,66,0,5,44,3.1,22,1.6,1,14.0
Baker Mayfield,CLE,6,29,0,3,27,4.5,2,0.3,0,
D'Ernest Johnson,CLE,2,6,0,,6,3.0,0,0.0,0,
