Quarter,Time,Tm,Detail,LVR,CLE
2.0,13:35,Browns,Cody Parkey 41 yard field goal,0,3
,5:17,Raiders,Daniel Carlson 29 yard field goal,3,3
,0:00,Raiders,Daniel Carlson 33 yard field goal,6,3
3.0,8:47,Browns,Cody Parkey 38 yard field goal,6,6
4.0,14:53,Raiders,Hunter Renfrow 4 yard pass from Derek Carr (Daniel Carlson kick),13,6
,4:24,Raiders,Daniel Carlson 24 yard field goal,16,6
