Unnamed: 0,LVR,CLE
First Downs,24,14
Rush-Yds-TDs,45-209-0,22-101-0
Cmp-Att-Yd-TD-INT,15-24-111-1-0,12-25-122-0-0
Sacked-Yards,2-11,0-0
Net Pass Yards,100,122
Total Yards,309,223
Fumbles-Lost,1-0,1-1
Turnovers,0,1
Penalties-Yards,5-25,7-59
Third Down Conv.,8-14,3-10
Fourth Down Conv.,2-2,2-2
Time of Possession,37:43,22:17
