Unnamed: 0,MIA,BUF
First Downs,16,25
Rush-Yds-TDs,20-42-1,26-107-1
Cmp-Att-Yd-TD-INT,18-45-220-1-2,23-39-352-3-2
Sacked-Yards,4-31,7-36
Net Pass Yards,189,316
Total Yards,231,423
Fumbles-Lost,0-0,4-1
Turnovers,2,3
Penalties-Yards,7-34,2-13
Third Down Conv.,4-16,9-16
Fourth Down Conv.,1-2,0-1
Time of Possession,27:47,32:13
