Quarter,Time,Tm,Detail,MIA,BUF
1.0,7:57,Bills,Dawson Knox 6 yard pass from Josh Allen (Tyler Bass kick),0,7
,5:07,Bills,James Cook 12 yard rush (Tyler Bass kick),0,14
2.0,12:46,Bills,Tyler Bass 33 yard field goal,0,17
,7:34,Dolphins,Jason Sanders 40 yard field goal,3,17
,2:15,Dolphins,Jason Sanders 48 yard field goal,6,17
,1:15,Dolphins,Jason Sanders 37 yard field goal,9,17
,0:33,Dolphins,Mike Gesicki 7 yard pass from Skylar Thompson (Tyreek Hill pass from Skylar Thompson),17,17
,0:04,Bills,Tyler Bass 39 yard field goal,17,20
3.0,13:59,Dolphins,Zach Sieler 5 yard fumble return (Jason Sanders kick),24,20
,5:18,Bills,Cole Beasley 6 yard pass from Josh Allen (Tyler Bass kick),24,27
,2:07,Bills,Gabriel Davis 23 yard pass from Josh Allen (Tyler Bass kick),24,34
4.0,10:53,Dolphins,Jeff Wilson 1 yard rush (Jason Sanders kick),31,34
