Unnamed: 0,GNB,CHI
First Downs,13,14
Rush-Yds-TDs,21-125-1,44-136-1
Cmp-Att-Yd-TD-INT,17-32-153-0-2,9-15-104-1-0
Sacked-Yards,1-4,0-0
Net Pass Yards,149,104
Total Yards,274,240
Fumbles-Lost,4-0,0-0
Turnovers,2,0
Penalties-Yards,1-10,6-30
Third Down Conv.,3-12,6-15
Fourth Down Conv.,1-3,2-3
Time of Possession,26:27,33:33
