Quarter,Time,Tm,Detail,LAR,MIN
1.0,10:42,Rams,Todd Gurley 6 yard rush (Greg Zuerlein kick),7,0
2.0,13:31,Vikings,Latavius Murray 8 yard rush (Kai Forbath kick),7,7
4.0,14:15,Vikings,Latavius Murray 2 yard rush (Kai Forbath kick),7,14
,10:14,Vikings,Adam Thielen 65 yard pass from Case Keenum (Kai Forbath kick),7,21
,2:23,Vikings,Kai Forbath 39 yard field goal,7,24
