Unnamed: 0,LAR,MIN
First Downs,15,27
Rush-Yds-TDs,17-45-1,35-171-2
Cmp-Att-Yd-TD-INT,23-37-225-0-0,27-38-280-1-0
Sacked-Yards,2-16,0-0
Net Pass Yards,209,280
Total Yards,254,451
Fumbles-Lost,1-1,0-0
Turnovers,1,0
Penalties-Yards,8-60,7-65
Third Down Conv.,3-11,7-14
Fourth Down Conv.,0-1,1-1
Time of Possession,22:38,37:22
