Quarter,Time,Down,ToGo,Location,LAR,MIN,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Vikings won the coin toss and deferred, Rams to receive the opening kickoff.",,
1,15:00,,,MIN 35,0,0,"Kai Forbath kicks off 65 yards, touchback",0.000,-0.610
1,15:00,1,10,LAR 25,0,0,Jared Goff pass complete short right to Sammy Watkins for 7 yards (tackle by Xavier Rhodes),0.610,1.010
1,14:35,2,3,LAR 32,0,0,Jared Goff pass incomplete short left intended for Tyler Higbee,1.010,0.300
1,14:29,3,3,LAR 32,0,0,Jared Goff pass complete short middle to Robert Woods for 9 yards (tackle by Anthony Harris),0.300,1.660
1,13:57,1,10,LAR 41,0,0,Jared Goff pass complete short left to Todd Gurley for 11 yards (tackle by Linval Joseph),1.660,2.390
1,13:14,1,10,MIN 48,0,0,Todd Gurley middle for 6 yards (tackle by Eric Kendricks and Everson Griffen),2.390,2.660
1,12:38,2,4,MIN 42,0,0,Jared Goff pass complete short middle to Cooper Kupp for 23 yards (tackle by Anthony Harris),2.660,4.310
1,12:01,1,10,MIN 19,0,0,Todd Gurley right guard for 5 yards (tackle by Linval Joseph and Anthony Harris),4.310,4.530
1,11:23,2,5,MIN 14,0,0,"Jared Goff pass incomplete short right intended for Robert Woods. Penalty on Mackensie Alexander: Defensive Holding, 5 yards (no play)",4.530,5.140
1,11:17,1,9,MIN 9,0,0,Todd Gurley for 3 yards (tackle by Eric Kendricks),5.140,4.950
1,10:48,2,6,MIN 6,6,0,"Todd Gurley middle for 6 yards, touchdown",4.950,7.000
1,10:42,,,MIN 15,7,0,Greg Zuerlein kicks extra point good,0.000,0.000
1,10:42,,,LAR 35,7,0,"Greg Zuerlein kicks off 65 yards, touchback",0.000,-0.610
1,10:42,1,10,MIN 25,7,0,Latavius Murray middle for 2 yards (tackle by Michael Brockers and Mark Barron),0.610,0.330
1,10:13,2,8,MIN 27,7,0,Case Keenum right end for 7 yards (tackle by Mark Barron),0.330,0.560
1,9:47,3,1,MIN 34,7,0,"Penalty on David Morgan: Offensive 12 On-field, 5 yards (no play)",0.560,-0.100
1,9:26,3,6,MIN 29,7,0,Case Keenum pass complete short right to Jerick McKinnon for 10 yards (tackle by John Johnson),-0.100,1.530
1,9:06,1,10,MIN 39,7,0,Jerick McKinnon middle for 3 yards (tackle by Aaron Donald),1.530,1.390
1,8:44,2,7,MIN 42,7,0,"Case Keenum pass incomplete deep left intended for Stefon Diggs. Penalty on Kayvon Webster: Defensive Holding, 5 yards (no play)",1.390,2.060
1,8:37,1,10,MIN 47,7,0,Case Keenum pass complete short right to Stefon Diggs for 9 yards (tackle by John Johnson),2.060,2.730
1,8:07,2,1,LAR 44,7,0,Latavius Murray left guard for -3 yards (tackle by Mark Barron),2.730,1.620
1,7:23,3,4,LAR 47,7,0,Case Keenum pass complete short right to Adam Thielen for 3 yards (tackle by Trumaine Johnson and Kayvon Webster),1.620,0.330
1,6:28,4,1,LAR 44,7,0,C.J. Ham middle for 2 yards (tackle by Alec Ogletree),0.330,2.790
1,5:44,1,10,LAR 42,7,0,Latavius Murray right guard for 13 yards (tackle by John Johnson),2.790,3.640
1,5:17,1,10,LAR 29,7,0,Case Keenum pass incomplete deep right intended for Adam Thielen,3.640,3.100
1,5:11,2,10,LAR 29,7,0,Case Keenum pass complete short left to Jerick McKinnon for -7 yards (tackle by Nickell Robey-Coleman),3.100,1.490
1,4:28,3,17,LAR 36,7,0,"Case Keenum pass complete short left to Jerick McKinnon for 15 yards (tackle by Alec Ogletree and Kayvon Webster). Penalty on David Morgan: Face Mask (15 Yards), 15 yards (no play)",1.490,-0.490
1,3:59,3,32,MIN 49,7,0,Case Keenum pass complete short right to Laquon Treadwell for no gain,-0.490,-0.130
1,3:28,4,32,MIN 49,7,0,"Ryan Quigley punts 41 yards, fair catch by Pharoh Cooper",-0.130,0.380
1,3:21,1,10,LAR 10,7,0,Todd Gurley left tackle for no gain (tackle by Danielle Hunter and Linval Joseph),-0.380,-0.780
1,2:39,2,10,LAR 10,7,0,Jared Goff pass incomplete deep left intended for Robert Woods,-0.780,0.000
1,2:31,,,,,,Timeout #1 by Los Angeles Rams,0.000,1.420
1,2:31,3,10,LAR 10,7,0,Jared Goff sacked by Danielle Hunter for -9 yards,-1.420,-2.490
1,1:51,4,19,LAR 1,7,0,"Johnny Hekker punts 43 yards, returned by Marcus Sherels for 9 yards (tackle by Samson Ebukam). Penalty on Pharoh Cooper: Illegal Shift, 5 yards",-2.490,-3.980
1,1:40,1,5,LAR 30,7,0,Latavius Murray left guard for no gain (tackle by Robert Quinn),3.980,3.380
1,1:20,2,5,LAR 30,7,0,Case Keenum pass complete short left to Adam Thielen for 12 yards (tackle by Trumaine Johnson),3.380,4.370
1,0:31,1,10,LAR 18,7,0,Case Keenum pass complete short left to Latavius Murray for 1 yard (tackle by Mark Barron and Robert Quinn),4.370,3.940
Quarter,Time,Down,ToGo,Location,LAR,MIN,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,2,9,LAR 17,7,0,Jerick McKinnon left guard for 4 yards (tackle by John Johnson),3.940,3.820
2,14:19,3,5,LAR 13,7,0,Case Keenum pass complete short left to Kyle Rudolph for 5 yards (tackle by Mark Barron),3.820,5.370
2,13:43,1,8,LAR 8,7,0,Case Keenum pass incomplete short right intended for Laquon Treadwell. Penalty on Pat Elflein: Ineligible Downfield Pass (Declined),5.370,4.570
2,13:36,2,8,LAR 8,7,6,"Latavius Murray left guard for 8 yards, touchdown",4.570,7.000
2,13:31,,,LAR 15,7,7,Kai Forbath kicks extra point good,0.000,0.000
2,13:31,,,MIN 35,7,7,"Kai Forbath kicks off 65 yards, touchback",0.000,-0.610
2,13:31,1,10,LAR 25,7,7,Jared Goff pass complete short left to Robert Woods for -1 yards (tackle by Terence Newman),0.610,-0.070
2,12:50,2,11,LAR 24,7,7,Jared Goff pass complete deep middle to Robert Woods for 23 yards (tackle by Trae Waynes),-0.070,2.060
2,12:21,1,10,LAR 47,7,7,"Jared Goff pass incomplete deep left intended for Sammy Watkins. Penalty on Sammy Watkins: Offensive Pass Interference, 10 yards (no play)",2.060,1.400
2,12:14,1,20,LAR 37,7,7,Todd Gurley left end for -1 yards (tackle by Everson Griffen),1.400,0.030
2,11:47,2,21,LAR 36,7,7,Jared Goff pass complete short right to Todd Gurley for 5 yards (tackle by Terence Newman),0.030,0.040
2,11:27,3,16,LAR 41,7,7,Jared Goff pass complete short left to Robert Woods for 11 yards (tackle by Terence Newman),0.040,0.070
2,10:49,4,5,MIN 48,7,7,"Johnny Hekker punts 33 yards, fair catch by Marcus Sherels",0.070,0.220
2,10:40,1,10,MIN 15,7,7,Case Keenum pass complete short left to Laquon Treadwell for 10 yards (tackle by Kayvon Webster),-0.220,0.610
2,10:07,1,10,MIN 25,7,7,Case Keenum pass complete deep left to Kyle Rudolph for 28 yards (tackle by Alec Ogletree),0.610,2.460
2,9:33,1,10,LAR 47,7,7,Case Keenum right tackle for 14 yards (tackle by Alec Ogletree),2.460,3.380
2,8:48,1,10,LAR 33,7,7,Case Keenum pass incomplete short middle intended for Latavius Murray (defended by Alec Ogletree),3.380,2.840
2,8:42,2,10,LAR 33,7,7,Latavius Murray middle for 3 yards (tackle by Ethan Westbrooks),2.840,2.540
2,8:01,3,7,LAR 30,7,7,Case Keenum pass incomplete deep middle intended for Adam Thielen (defended by Lamarcus Joyner),2.540,1.410
2,7:54,4,7,LAR 30,7,7,Kai Forbath 48 yard field goal no good,1.410,-1.470
2,7:49,1,10,LAR 38,7,7,Todd Gurley right end for 5 yards (tackle by Anthony Harris),1.470,1.600
2,7:19,2,5,LAR 43,7,7,"Jared Goff pass incomplete deep left intended for Tyler Higbee. Penalty on Anthony Barr: Roughing the Passer, 15 yards (no play)",1.600,2.790
2,7:12,1,10,MIN 42,7,7,Jared Goff pass incomplete deep middle intended for Tyler Higbee (defended by Mackensie Alexander),2.790,2.240
2,7:06,2,10,MIN 42,7,7,Jared Goff pass incomplete short right intended for Tyler Higbee,2.240,0.000
2,7:01,,,,,,Timeout #2 by Los Angeles Rams,0.000,-1.550
2,7:01,3,10,MIN 42,7,7,Jared Goff pass complete short left to Cooper Kupp for 13 yards (tackle by Mackensie Alexander),1.550,3.640
2,6:30,1,10,MIN 29,7,7,Todd Gurley middle for 5 yards (tackle by Anthony Barr),3.640,3.780
2,6:03,2,5,MIN 24,7,7,Jared Goff pass complete short right to Robert Woods for 7 yards,3.780,4.440
2,5:38,1,10,MIN 17,7,7,Todd Gurley right tackle for -3 yards (tackle by Stephen Weatherly),4.440,3.490
2,4:50,2,13,MIN 20,7,7,Jared Goff left end for 9 yards (tackle by Anthony Harris),3.490,4.100
2,4:11,3,4,MIN 11,7,7,"Jared Goff pass complete short middle to Cooper Kupp for 10 yards (tackle by Anthony Harris). Cooper Kupp fumbles (forced by Anthony Harris), recovered by Anthony Harris at MIN-1 (tackle by Cooper Kupp)",4.100,0.380
2,4:03,1,10,MIN 1,7,7,C.J. Ham middle for 3 yards (tackle by Tyrunn Walker),-0.380,-0.560
2,3:19,2,7,MIN 4,7,7,Case Keenum pass incomplete short right intended for Kyle Rudolph,-0.560,-1.070
2,3:13,3,7,MIN 4,7,7,Case Keenum pass complete short left to Adam Thielen for 12 yards (tackle by Kayvon Webster). Penalty on Kayvon Webster: Defensive Pass Interference (Declined),-1.070,-0.140
2,2:53,1,10,MIN 16,7,7,Case Keenum pass complete short left to Kyle Rudolph for 15 yards (tackle by Kayvon Webster and Alec Ogletree),-0.140,1.000
2,2:15,1,10,MIN 31,7,7,"Penalty on Kyle Rudolph: False Start, 5 yards (no play)",1.000,0.670
2,2:00,1,15,MIN 26,7,7,Case Keenum pass complete short left to Jerick McKinnon for -7 yards (tackle by Alec Ogletree),0.670,0.000
2,1:45,,,,,,Timeout #3 by Los Angeles Rams,0.000,1.220
2,1:45,2,22,MIN 19,7,7,Jerick McKinnon middle for 9 yards (tackle by John Johnson),-1.220,-0.630
2,1:06,3,13,MIN 28,7,7,Jerick McKinnon right end for 7 yards (tackle by Blake Countess and Michael Brockers),-0.630,0.000
2,0:19,,,,,,Timeout #2 by Minnesota Vikings,0.000,1.040
2,0:19,4,6,MIN 35,7,7,"Ryan Quigley punts 50 yards, returned by Pharoh Cooper for 13 yards (tackle by Marcus Sherels). Penalty on Marqui Christian: Illegal Block Above the Waist, 10 yards",-1.040,-0.040
2,0:08,1,10,LAR 18,7,7,Jared Goff kneels for -1 yards,0.040,-0.650
Quarter,Time,Down,ToGo,Location,LAR,MIN,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,LAR 35,7,7,"Greg Zuerlein kicks off 65 yards, touchback",0.000,-0.610
3,15:00,1,10,MIN 25,7,7,Latavius Murray middle for -4 yards (tackle by Robert Quinn),0.610,-0.480
3,14:36,2,14,MIN 21,7,7,Case Keenum pass incomplete deep middle intended for Stefon Diggs,-0.480,-1.150
3,14:32,3,14,MIN 21,7,7,Case Keenum pass complete short left to Kyle Rudolph for 6 yards (tackle by Blake Countess),-1.150,-1.570
3,13:54,4,8,MIN 27,7,7,"Ryan Quigley punts 46 yards, returned by Pharoh Cooper for -1 yards (tackle by Eric Wilson)",-1.570,-0.670
3,13:45,1,10,LAR 26,7,7,Todd Gurley middle for 2 yards (tackle by Danielle Hunter and Tom Johnson),0.670,0.400
3,13:14,2,8,LAR 28,7,7,Jared Goff pass complete short middle to Sammy Watkins for 15 yards (tackle by Xavier Rhodes),0.400,1.800
3,12:36,1,10,LAR 43,7,7,Jared Goff pass incomplete short right intended for Todd Gurley,1.800,1.250
3,12:32,2,10,LAR 43,7,7,Todd Gurley left guard for no gain (tackle by Tom Johnson and Eric Kendricks),1.250,0.560
3,11:43,3,10,LAR 43,7,7,"Penalty on Jared Goff: Delay of Game, 5 yards (no play)",0.560,-0.100
3,11:20,3,15,LAR 38,7,7,Jared Goff pass complete short right to Robert Woods for 8 yards (tackle by Mackensie Alexander),-0.100,-0.320
3,10:46,4,7,LAR 46,7,7,"Johnny Hekker punts 40 yards, fair catch by Marcus Sherels",-0.320,0.280
3,10:39,1,10,MIN 14,7,7,Case Keenum pass complete short right to Jerick McKinnon for 8 yards (tackle by John Johnson),-0.280,0.420
3,10:08,2,2,MIN 22,7,7,Jerick McKinnon right guard for -2 yards (tackle by Connor Barwin and Mark Barron),0.420,-0.680
3,9:29,3,4,MIN 20,7,7,"Case Keenum pass complete short left to Stefon Diggs for 10 yards (tackle by Blake Countess). Penalty on Laquon Treadwell: Offensive Holding, 10 yards",-0.680,-0.680
