Unnamed: 0,GNB,NOR
First Downs,24,21
Rush-Yds-TDs,26-98-1,20-122-0
Cmp-Att-Yd-TD-INT,21-32-283-3-0,29-36-288-3-0
Sacked-Yards,1-12,2-13
Net Pass Yards,271,275
Total Yards,369,397
Fumbles-Lost,0-0,3-1
Turnovers,0,1
Penalties-Yards,2-10,8-83
Third Down Conv.,5-11,5-11
Fourth Down Conv.,1-2,1-1
Time of Possession,31:40,28:20
