Quarter,Time,Tm,Detail,GNB,NOR
1.0,7:30,Packers,Mason Crosby 52 yard field goal,3,0
,5:07,Saints,Alvin Kamara 11 yard pass from Drew Brees (Wil Lutz kick),3,7
2.0,14:12,Packers,Mason Crosby 33 yard field goal,6,7
,10:32,Packers,Allen Lazard 5 yard pass from Aaron Rodgers (Mason Crosby kick),13,7
,4:28,Saints,Wil Lutz 45 yard field goal,13,10
,0:06,Saints,Emmanuel Sanders 10 yard pass from Drew Brees (Wil Lutz kick),13,17
3.0,12:58,Packers,Aaron Jones 1 yard rush (Mason Crosby kick),20,17
,5:55,Saints,Wil Lutz 35 yard field goal,20,20
,2:17,Packers,Marcedes Lewis 18 yard pass from Aaron Rodgers (Mason Crosby kick),27,20
,0:33,Saints,Alvin Kamara 52 yard pass from Drew Brees (Wil Lutz kick),27,27
4.0,8:47,Packers,Mason Crosby 49 yard field goal,30,27
,2:00,Packers,Robert Tonyan 1 yard pass from Aaron Rodgers (Mason Crosby kick),37,27
,0:32,Saints,Wil Lutz 34 yard field goal,37,30
