Quarter,Time,Down,ToGo,Location,GNB,NOR,Detail,EPB,EPA
1,8:57,2,10,NOR 31,0,0,Aaron Rodgers sacked by Demario Davis for -12 yards,2.970,0.700
1,8:15,3,22,NOR 43,0,0,Aaron Rodgers pass complete short right to Robert Tonyan for 9 yards (tackle by Chauncey Gardner-Johnson),0.700,1.060
1,7:36,4,13,NOR 34,3,0,Mason Crosby 52 yard field goal good,1.060,3.000
1,7:30,,,GNB 35,3,0,"Mason Crosby kicks off 68 yards, returned by Deonte Harris for 22 yards (tackle by Oren Burks). Deonte Harris fumbles (forced by Oren Burks), recovered by J.T. Gray at NO-23 (tackle by Vernon Scott)",0.000,0.480
1,7:23,1,10,NOR 23,3,0,Latavius Murray left tackle for 10 yards (tackle by Christian Kirksey),0.480,1.140
1,6:47,1,10,NOR 33,3,0,Alvin Kamara left tackle for 49 yards (tackle by Christian Kirksey and Adrian Amos),1.140,4.370
1,5:57,1,10,GNB 18,3,0,Latavius Murray right guard for 7 yards (tackle by Krys Barnes and Za'Darius Smith),4.370,5.010
1,5:15,2,3,GNB 11,3,6,"Drew Brees pass complete short middle to Alvin Kamara for 11 yards, touchdown",5.010,7.000
1,5:07,,,GNB 15,3,7,Wil Lutz kicks extra point good,0.000,0.000
1,5:07,,,NOR 35,3,7,"Wil Lutz kicks off 65 yards, touchback.",0.000,0.610
1,5:07,1,10,GNB 25,3,7,Aaron Rodgers pass complete short left to Robert Tonyan for 10 yards (tackle by Demario Davis),0.610,1.270
1,4:27,1,10,GNB 35,3,7,Aaron Rodgers pass complete short left to Aaron Jones for 5 yards (tackle by Alex Anzalone),1.270,1.400
1,3:52,2,5,GNB 40,3,7,Aaron Jones left guard for 4 yards (tackle by Alex Anzalone),1.400,1.220
1,3:13,3,1,GNB 44,3,7,Jamaal Williams right guard for 4 yards (tackle by Marshon Lattimore),1.220,2.130
1,2:34,1,10,GNB 48,3,7,"Jamaal Williams left end for 6 yards (tackle by Malcolm Jenkins). Penalty on Malcolm Jenkins: Horse Collar Tackle, 15 yards",2.130,3.510
1,2:05,1,10,NOR 31,3,7,Allen Lazard left end for -2 yards (tackle by Janoris Jenkins),3.510,2.700
1,1:24,2,12,NOR 33,3,7,Aaron Rodgers pass incomplete deep middle intended for Darrius Shepherd,2.700,2.020
1,1:18,3,12,NOR 33,3,7,Aaron Rodgers up the middle for 13 yards (tackle by Janoris Jenkins),2.020,4.240
1,0:33,1,10,NOR 20,3,7,Aaron Rodgers pass complete short right to Tyler Ervin for 3 yards (tackle by Chauncey Gardner-Johnson),4.240,4.120
Quarter,Time,Down,ToGo,Location,GNB,NOR,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,2,7,NOR 17,3,7,Aaron Jones right guard for 2 yards (tackle by Carl Granderson and Malcom Brown),4.120,3.700
2,14:23,3,5,NOR 15,3,7,Aaron Rodgers pass incomplete short left intended for Aaron Jones,3.700,2.490
2,14:17,4,5,NOR 15,6,7,Mason Crosby 33 yard field goal good,2.490,3.000
2,14:12,,,GNB 35,6,7,"Mason Crosby kicks off 65 yards, touchback.",0.000,0.610
2,14:12,1,10,NOR 25,6,7,Alvin Kamara left guard for 2 yards (tackle by Rashan Gary and Preston Smith),0.610,0.330
2,13:32,2,8,NOR 27,6,7,Drew Brees pass complete short right to Alvin Kamara for -2 yards (tackle by Jaire Alexander),0.330,-0.620
2,12:50,3,10,NOR 25,6,7,"Drew Brees sacked by Kingsley Keke for -6 yards. Drew Brees fumbles (forced by Kingsley Keke), recovered by Andrus Peat at NO-19",-0.620,-2.140
2,12:07,4,16,NOR 19,6,7,"Thomas Morstead punts 46 yards, fair catch by Tyler Ervin at GB-35. Penalty on J.T. Gray: Unsportsmanlike Conduct, 15 yards",-2.140,-2.260
2,11:59,1,10,GNB 50,6,7,Aaron Rodgers pass complete deep left to Allen Lazard for 48 yards (tackle by Marshon Lattimore),2.260,6.740
2,11:20,1,2,NOR 2,6,7,Jamaal Williams left guard for -3 yards (tackle by Malcolm Jenkins),6.740,5.150
2,10:36,2,5,NOR 5,12,7,"Aaron Rodgers pass complete short right to Allen Lazard for 5 yards, touchdown",5.150,7.000
2,10:32,,,NOR 15,13,7,Mason Crosby kicks extra point good,0.000,0.000
2,10:32,,,GNB 35,13,7,"Mason Crosby kicks off 65 yards, touchback.",0.000,0.610
2,10:32,1,10,NOR 25,13,7,Latavius Murray left guard for 2 yards (tackle by Preston Smith),0.610,0.330
2,9:55,2,8,NOR 27,13,7,"Drew Brees pass complete short right to Alvin Kamara for 6 yards (tackle by Christian Kirksey). Penalty on Taysom Hill: Offensive Pass Interference, 10 yards (no play)",0.330,-1.150
2,9:27,2,18,NOR 17,13,7,Alvin Kamara left guard for 3 yards (tackle by Montravius Adams and Tyler Lancaster),-1.150,-1.290
2,8:50,3,15,NOR 20,13,7,Drew Brees pass complete short left to Alvin Kamara for 21 yards (tackle by Darnell Savage),-1.290,1.660
2,8:09,1,10,NOR 41,13,7,Latavius Murray right tackle for 9 yards (tackle by Darnell Savage),1.660,2.340
2,7:34,2,1,NOR 50,13,7,Latavius Murray right end for 4 yards (tackle by Christian Kirksey and Krys Barnes),2.340,2.520
2,6:57,1,10,GNB 46,13,7,Latavius Murray right tackle for 8 yards (tackle by Jaire Alexander),2.520,3.060
2,6:30,2,2,GNB 38,13,7,Latavius Murray left tackle for 4 yards (tackle by Ty Summers and Krys Barnes),3.060,3.310
2,5:56,1,10,GNB 34,13,7,Drew Brees pass incomplete short right intended for Tre'Quan Smith (defended by Billy Winn),3.310,2.770
2,5:53,2,10,GNB 34,13,7,Drew Brees pass complete short middle to Adam Trautman for 7 yards (tackle by Ty Summers),2.770,3.010
2,5:16,3,3,GNB 27,13,7,Drew Brees pass complete short left to Taysom Hill for 1 yard (tackle by Adrian Amos),3.010,1.860
2,4:34,4,2,GNB 26,13,10,Wil Lutz 45 yard field goal good,1.860,3.000
2,4:28,,,NOR 35,13,10,"Wil Lutz kicks off 56 yards, returned by Tyler Ervin for 13 yards (tackle by Justin Hardee)",0.000,0.410
2,4:24,1,10,GNB 22,13,10,Aaron Jones left end for 13 yards (tackle by Marshon Lattimore),0.410,1.270
2,3:42,1,10,GNB 35,13,10,Aaron Rodgers pass incomplete deep right intended for Marquez Valdes-Scantling,1.270,0.720
2,3:36,2,10,GNB 35,13,10,Aaron Jones left end for 2 yards (tackle by Demario Davis),0.720,0.300
2,2:55,3,8,GNB 37,13,10,Aaron Rodgers pass incomplete deep right intended for Marquez Valdes-Scantling,0.300,-0.910
2,2:51,4,8,GNB 37,13,10,"JK Scott punts 38 yards, returned by Deonte Harris for 14 yards (tackle by Oren Burks)",-0.910,-1.530
2,2:40,1,10,NOR 39,13,10,Drew Brees sacked by Kingsley Keke for -7 yards,1.530,0.040
2,2:02,2,17,NOR 32,13,10,"Drew Brees pass complete short left to Alvin Kamara for 3 yards (tackle by Ty Summers). Penalty on Za'Darius Smith: Defensive Holding, 5 yards (no play)",0.040,1.400
2,1:57,1,10,NOR 37,13,10,Drew Brees pass complete short right to Jared Cook for 8 yards (tackle by Adrian Amos),1.400,1.940
2,1:33,2,2,NOR 45,13,10,Drew Brees pass complete short left to Tre'Quan Smith for 7 yards (tackle by Kevin King),1.940,2.390
2,1:12,1,10,GNB 48,13,10,Drew Brees pass incomplete short middle intended for Deonte Harris (defended by Kingsley Keke),2.390,1.850
2,1:09,2,10,GNB 48,13,10,Drew Brees pass complete short right to Alvin Kamara for 4 yards (tackle by Ty Summers),1.850,1.690
2,0:57,,,,,,Timeout #1 by New Orleans Saints,,
2,0:57,3,6,GNB 44,13,10,Drew Brees pass complete short middle to Tre'Quan Smith for 7 yards (tackle by Oren Burks),1.690,3.120
2,0:35,1,10,GNB 37,13,10,Drew Brees pass complete short middle to Alvin Kamara for 7 yards (tackle by Will Redmond),3.120,3.520
2,0:28,2,3,GNB 30,13,10,Drew Brees pass complete short left to Alvin Kamara for 13 yards (tackle by Darnell Savage and Kevin King),3.520,4.370
2,0:20,,,,,,Timeout #2 by New Orleans Saints,,
2,0:20,1,10,GNB 18,13,10,Drew Brees pass complete short middle to Alvin Kamara for 7 yards (tackle by Jonathan Garvin),4.370,5.230
2,0:12,,,,,,Timeout #3 by New Orleans Saints,,
2,0:12,2,2,GNB 10,13,10,Drew Brees pass incomplete short left intended for Jared Cook,5.230,4.510
2,0:09,3,2,GNB 10,13,16,"Drew Brees pass complete short left to Emmanuel Sanders for 10 yards, touchdown",4.510,7.000
2,0:06,,,GNB 15,13,17,Wil Lutz kicks extra point good,0.000,0.000
2,0:06,,,NOR 35,13,17,"Wil Lutz kicks off 53 yards, returned by Tyler Ervin for 17 yards (tackle by Justin Hardee and P.J. Williams)",0.000,1.270
Quarter,Time,Down,ToGo,Location,GNB,NOR,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,NOR 35,13,17,"Wil Lutz kicks off 65 yards, touchback.",0.000,0.610
3,15:00,1,10,GNB 25,13,17,Aaron Rodgers pass incomplete deep right intended for Marquez Valdes-Scantling,0.610,0.060
3,14:54,2,10,GNB 25,13,17,Aaron Rodgers pass incomplete short middle intended for Allen Lazard,0.060,-0.620
3,14:50,3,10,GNB 25,13,17,Aaron Rodgers pass complete deep right to Allen Lazard for 72 yards (tackle by P.J. Williams),-0.620,6.510
3,13:59,1,3,NOR 3,13,17,Aaron Rodgers pass incomplete short left intended for Aaron Jones,6.510,5.530
3,13:54,2,3,NOR 3,13,17,Aaron Jones left guard for 2 yards (tackle by Janoris Jenkins and Marcus Williams),5.530,5.170
3,13:08,3,1,NOR 1,13,17,Aaron Rodgers pass incomplete short right intended for Marcedes Lewis,5.170,3.550
3,13:01,4,1,NOR 1,19,17,"Aaron Jones right guard for 1 yard, touchdown",3.550,7.000
3,12:58,,,NOR 15,20,17,Mason Crosby kicks extra point good,0.000,0.000
3,12:58,,,GNB 35,20,17,"Mason Crosby kicks off 65 yards, touchback.",0.000,0.610
3,12:58,1,10,NOR 25,20,17,Latavius Murray right guard for 3 yards (tackle by Krys Barnes and Tyler Lancaster),0.610,0.470
3,12:24,2,7,NOR 28,20,17,Alvin Kamara right guard for 2 yards (tackle by Adrian Amos),0.470,0.040
3,11:45,3,5,NOR 30,20,17,Drew Brees pass complete short left to Emmanuel Sanders for 10 yards (tackle by Kevin King),0.040,1.600
3,11:10,1,10,NOR 40,20,17,Drew Brees pass complete short right to Jared Cook for 13 yards (tackle by Darnell Savage),1.600,2.460
3,10:27,1,10,GNB 47,20,17,Taysom Hill left guard for 8 yards (tackle by Ty Summers),2.460,2.990
3,9:48,2,2,GNB 39,20,17,Latavius Murray right guard for 1 yard (tackle by Ty Summers),2.990,2.410
3,9:07,3,1,GNB 38,20,17,Latavius Murray left guard for 5 yards (tackle by Krys Barnes),2.410,3.380
3,8:27,1,10,GNB 33,20,17,Drew Brees pass complete short right to Alvin Kamara for 14 yards (tackle by Ty Summers),3.380,4.310
3,7:49,1,10,GNB 19,20,17,Latavius Murray left guard for 1 yard (tackle by Krys Barnes),4.310,3.880
3,7:04,2,9,GNB 18,20,17,Drew Brees pass incomplete short middle intended for Tre'Quan Smith,3.880,3.140
3,6:59,3,9,GNB 18,20,17,Drew Brees pass complete short right to Alvin Kamara for 6 yards (tackle by Raven Greene and Ty Summers),3.140,2.730
3,6:07,4,3,GNB 12,20,17,"Penalty on Terron Armstead: False Start, 5 yards (no play)",2.730,2.310
3,5:59,4,8,GNB 17,20,20,Wil Lutz 35 yard field goal good,2.310,3.000
3,5:55,,,NOR 35,20,20,"Wil Lutz kicks off 65 yards, touchback.",0.000,0.610
3,5:55,1,10,GNB 25,20,20,Aaron Rodgers pass complete short right to Robert Tonyan for 16 yards (tackle by Demario Davis),0.610,1.660
3,5:15,1,10,GNB 41,20,20,Aaron Rodgers pass complete short right to Marquez Valdes-Scantling for 5 yards (tackle by Janoris Jenkins),1.660,1.800
3,4:40,2,5,GNB 46,20,20,Aaron Jones left guard for 9 yards (tackle by Marshon Lattimore),1.800,2.590
3,3:57,1,10,NOR 45,20,20,"Aaron Rodgers pass incomplete deep left intended for Tyler Ervin. Penalty on Marcus Williams: Defensive Pass Interference, 19 yards (no play)",2.590,3.840
3,3:51,1,10,NOR 26,20,20,Tyler Ervin left tackle for 5 yards (tackle by Sheldon Rankins),3.840,3.970
3,3:09,2,5,NOR 21,20,20,Aaron Jones right end for 3 yards (tackle by Janoris Jenkins),3.970,3.750
3,2:26,3,2,NOR 18,26,20,"Aaron Rodgers pass complete short left to Marcedes Lewis for 18 yards, touchdown",3.750,7.000
3,2:17,,,NOR 15,27,20,Mason Crosby kicks extra point good,0.000,0.000
3,2:17,,,GNB 35,27,20,"Mason Crosby kicks off 70 yards, returned by Deonte Harris for 30 yards (tackle by Krys Barnes)",0.000,0.610
3,2:13,1,10,NOR 25,27,20,"Drew Brees pass incomplete short right. Penalty on Kevin King: Defensive Holding, 5 yards (no play)",0.610,0.940
3,2:04,1,10,NOR 30,27,20,Alvin Kamara right guard for no gain (tackle by Ty Summers and Darnell Savage),0.940,0.390
3,1:25,,,,,,Timeout #1 by New Orleans Saints,,
3,1:25,2,10,NOR 30,27,20,Drew Brees pass complete deep left to Emmanuel Sanders for 18 yards (tackle by Kevin King),0.390,2.130
3,0:50,1,10,NOR 48,27,26,"Drew Brees pass complete short left to Alvin Kamara for 52 yards, touchdown",2.130,7.000
3,0:33,,,GNB 15,27,27,Wil Lutz kicks extra point good,0.000,0.000
3,0:33,,,NOR 35,27,27,"Wil Lutz kicks off 65 yards, touchback.",0.000,0.610
3,0:33,1,10,GNB 25,27,27,Aaron Rodgers pass complete short left to Robert Tonyan for 14 yards (tackle by Malcolm Jenkins),0.610,1.530
Quarter,Time,Down,ToGo,Location,GNB,NOR,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,1,10,GNB 39,27,27,Aaron Rodgers pass complete short right to Tyler Ervin for 5 yards (tackle by Malcolm Jenkins),1.530,1.660
4,14:16,2,5,GNB 44,27,27,Aaron Rodgers pass incomplete short right,1.660,0.960
4,14:11,3,5,GNB 44,27,27,Jamaal Williams right end for 4 yards (tackle by Demario Davis),0.960,-0.190
4,13:12,4,1,GNB 48,27,27,Aaron Jones right guard for no gain (tackle by Marshon Lattimore and Malcolm Jenkins),-0.190,-2.390
4,13:07,1,10,GNB 48,27,27,Drew Brees pass complete short middle to Latavius Murray for 7 yards (tackle by Preston Smith and Krys Barnes),2.390,2.790
4,12:23,2,3,GNB 41,27,27,"Taysom Hill up the middle for -2 yards (tackle by Za'Darius Smith). Taysom Hill fumbles (forced by Za'Darius Smith), recovered by Za'Darius Smith at GB-43 (tackle by Taysom Hill)",2.790,-1.800
4,12:19,1,10,GNB 43,27,27,Aaron Rodgers pass complete short left to Allen Lazard for 7 yards (tackle by Malcolm Jenkins),1.800,2.200
4,11:41,2,3,GNB 50,27,27,Aaron Rodgers pass complete short right to Jamaal Williams for 3 yards (tackle by Alex Anzalone),2.200,2.460
4,10:55,1,10,NOR 47,27,27,Aaron Rodgers pass complete short right to Jace Sternberger for 12 yards (tackle by Malcolm Jenkins),2.460,3.250
4,10:16,1,10,NOR 35,27,27,Jamaal Williams right guard for 3 yards (tackle by Trey Hendrickson),3.250,3.110
4,9:33,2,7,NOR 32,27,27,Aaron Rodgers pass incomplete short right,3.110,2.410
4,9:29,3,7,NOR 32,27,27,Aaron Rodgers pass complete short right to Jace Sternberger for 1 yard (tackle by Cameron Jordan and Janoris Jenkins),2.410,1.340
4,8:52,4,6,NOR 31,30,27,Mason Crosby 49 yard field goal good,1.340,3.000
4,8:47,,,GNB 35,30,27,"Mason Crosby kicks off 65 yards, touchback.",0.000,0.610
4,8:47,1,10,NOR 25,30,27,Drew Brees pass complete short right to Alvin Kamara for 3 yards (tackle by Krys Barnes),0.610,0.470
4,8:10,2,7,NOR 28,30,27,Drew Brees pass complete short right to Deonte Harris for 2 yards (tackle by Ty Summers),0.470,0.040
4,7:30,3,5,NOR 30,30,27,Drew Brees pass complete short left to Alvin Kamara for no gain (tackle by Chandon Sullivan),0.040,-1.370
4,6:43,4,5,NOR 30,30,27,"Thomas Morstead punts 34 yards, fair catch by Tyler Ervin at GB-36",-1.370,-1.330
4,6:36,1,10,GNB 36,30,27,Aaron Rodgers pass complete deep left to Jace Sternberger for 23 yards (tackle by Marshon Lattimore),1.330,2.850
4,5:59,1,10,NOR 41,30,27,Aaron Jones left tackle for 19 yards (tackle by Marcus Williams),2.850,4.110
4,5:17,1,10,NOR 22,30,27,Aaron Jones right tackle for 5 yards (tackle by Demario Davis and Chauncey Gardner-Johnson),4.110,4.290
4,4:34,2,5,NOR 17,30,27,Aaron Jones right guard for 2 yards (tackle by Malcolm Jenkins),4.290,3.930
4,3:49,3,3,NOR 15,30,27,"Aaron Rodgers pass incomplete short right intended for Allen Lazard. Penalty on Demario Davis: Defensive Offside (Declined) . Penalty on Janoris Jenkins: Defensive Pass Interference, 14 yards (no play)",3.930,6.970
4,3:42,1,1,NOR 1,30,27,Jamaal Williams right guard for no gain (tackle by Demario Davis and Cameron Jordan),6.970,5.910
4,2:56,2,1,NOR 1,30,27,Aaron Rodgers pass incomplete short left intended for Marquez Valdes-Scantling (defended by Janoris Jenkins). Penalty on Janoris Jenkins: Defensive Pass Interference (no play),5.910,6.970
4,2:52,1,1,NOR 1,30,27,Aaron Jones left guard for no gain (tackle by Malcom Brown and Cameron Jordan),6.970,5.910
4,2:04,2,1,NOR 1,36,27,"Aaron Rodgers pass complete short right to Robert Tonyan for 1 yard, touchdown",5.910,7.000
4,2:00,,,NOR 15,37,27,Mason Crosby kicks extra point good,0.000,0.000
4,2:00,,,GNB 35,37,27,"Mason Crosby kicks off 65 yards, touchback.",0.000,0.610
4,2:00,1,10,NOR 25,37,27,Drew Brees pass incomplete short right intended for Emmanuel Sanders (defended by Jaire Alexander),0.610,0.060
4,1:56,2,10,NOR 25,37,27,Drew Brees pass complete deep middle to Emmanuel Sanders for 18 yards (tackle by Will Redmond),0.060,1.800
4,1:36,1,10,NOR 43,37,27,Drew Brees pass complete short left to Alvin Kamara for 3 yards (tackle by Oren Burks),1.800,1.660
4,1:17,2,7,NOR 46,37,27,Drew Brees pass complete short right to Adam Trautman for 10 yards (tackle by Chandon Sullivan),1.660,2.650
4,1:06,1,10,GNB 44,37,27,Drew Brees spiked the ball,2.650,2.110
4,1:05,2,10,GNB 44,37,27,Drew Brees pass incomplete short right intended for Alvin Kamara,2.110,1.420
4,1:02,3,10,GNB 44,37,27,Drew Brees pass complete short left to Tre'Quan Smith for 9 yards (tackle by Adrian Amos and Will Redmond),1.420,1.000
4,0:41,4,1,GNB 35,37,27,Drew Brees pass complete short middle to Tre'Quan Smith for 19 yards (tackle by Darnell Savage),1.000,4.510
4,0:35,,,,,,Timeout #2 by New Orleans Saints,,
4,0:35,1,10,GNB 16,37,30,Wil Lutz 34 yard field goal good,4.510,3.000
4,0:32,,,,,,Timeout #2 by Green Bay Packers,,
4,0:32,,,NOR 35,37,30,"Wil Lutz kicks onside 8 yards,",0.000,2.720
4,0:32,1,10,NOR 43,37,30,Aaron Rodgers kneels for -1 yards,2.720,2.040
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
