Unnamed: 0,NOR,JAX
First Downs,18,11
Rush-Yds-TDs,26-104-0,24-75-0
Cmp-Att-Yd-TD-INT,24-36-240-1-0,14-29-163-0-1
Sacked-Yards,3-18,2-12
Net Pass Yards,222,151
Total Yards,326,226
Fumbles-Lost,1-0,0-0
Turnovers,0,1
Penalties-Yards,3-35,2-15
Third Down Conv.,5-13,4-14
Fourth Down Conv.,0-0,0-1
Time of Possession,33:09,26:51
