Quarter,Time,Tm,Detail,NOR,JAX
1.0,2:29,Saints,Wil Lutz 47 yard field goal,3,0
2.0,2:41,Jaguars,Josh Lambo 22 yard field goal,3,3
3.0,8:40,Saints,Wil Lutz 21 yard field goal,6,3
,3:11,Jaguars,Josh Lambo 32 yard field goal,6,6
4.0,11:49,Saints,Jared Cook 4 yard pass from Teddy Bridgewater (Wil Lutz kick),13,6
