Quarter,Time,Down,ToGo,Location,NOR,JAX,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Jaguars won the coin toss and deferred, Saints to receive the opening kickoff.",,
1,15:00,,,JAX 35,0,0,"Josh Lambo kicks off 65 yards, touchback.",0.000,0.610
1,15:00,1,10,NOR 25,0,0,Teddy Bridgewater pass complete short right to Alvin Kamara for 8 yards (tackle by D.J. Hayden),0.610,1.140
1,14:30,2,2,NOR 33,0,0,Teddy Bridgewater pass complete short left to Josh Hill for 8 yards (tackle by Tre Herndon),1.140,1.660
1,13:58,1,10,NOR 41,0,0,Alvin Kamara right end for 1 yard (tackle by Calais Campbell),1.660,1.260
1,13:25,2,9,NOR 42,0,0,Alvin Kamara up the middle for 7 yards (tackle by Marcell Dareus),1.260,1.490
1,12:53,,,,,,Timeout #1 by New Orleans Saints,,
1,12:53,3,2,NOR 49,0,0,Teddy Bridgewater pass incomplete deep left,1.490,-0.130
1,12:45,4,2,NOR 49,0,0,"Thomas Morstead punts 42 yards, fair catch by Dede Westbrook at JAC-9",-0.130,0.380
1,12:38,1,10,JAX 9,0,0,Leonard Fournette up the middle for 4 yards (tackle by Malcom Brown and Marcus Davenport),-0.380,-0.480
1,12:03,2,6,JAX 13,0,0,Gardner Minshew pass complete short left to Leonard Fournette for 7 yards (tackle by Demario Davis),-0.480,0.280
1,11:28,1,10,JAX 20,0,0,Gardner Minshew pass incomplete short middle intended for Dede Westbrook (defended by Eli Apple),0.280,-0.270
1,11:23,2,10,JAX 20,0,0,Leonard Fournette up the middle for 3 yards (tackle by Vonn Bell and Kiko Alonso),-0.270,-0.560
1,10:40,3,7,JAX 23,0,0,Gardner Minshew pass complete short middle to Leonard Fournette for 6 yards (tackle by Chauncey Gardner-Johnson),-0.560,-1.440
1,10:08,4,1,JAX 29,0,0,"Logan Cooke punts 41 yards, fair catch by Deonte Harris at NO-30",-1.440,-0.940
1,10:04,1,10,NOR 30,0,0,Teddy Bridgewater pass complete short middle to Latavius Murray for 9 yards (tackle by Abry Jones),0.940,1.610
1,9:21,2,1,NOR 39,0,0,Latavius Murray up the middle for 2 yards (tackle by Myles Jack and Abry Jones),1.610,1.660
1,8:49,1,10,NOR 41,0,0,Teddy Bridgewater pass incomplete short middle intended for Michael Thomas (defended by Leon Jacobs),1.660,1.120
1,8:44,2,10,NOR 41,0,0,Latavius Murray up the middle for 1 yard (tackle by Myles Jack and Najee Goode),1.120,0.560
1,7:59,3,9,NOR 42,0,0,Teddy Bridgewater pass complete short left to Latavius Murray for 9 yards (tackle by D.J. Hayden and Cody Davis),0.560,2.320
1,7:10,1,10,JAX 49,0,0,Alvin Kamara up the middle for 5 yards (tackle by Yannick Ngakoue),2.320,2.460
1,6:28,2,5,JAX 44,0,0,Teddy Bridgewater pass incomplete deep left intended for Ted Ginn,2.460,1.750
1,6:18,3,5,JAX 44,0,0,Teddy Bridgewater pass incomplete short right intended for Michael Thomas,1.750,0.330
1,6:15,4,5,JAX 44,0,0,Thomas Morstead punts 42 yards downed by Justin Hardee,0.330,0.380
1,6:04,1,10,JAX 2,0,0,Leonard Fournette up the middle for 2 yards (tackle by Kiko Alonso),-0.380,-0.630
1,5:20,2,8,JAX 4,0,0,Gardner Minshew pass incomplete deep left intended for Dede Westbrook,-0.630,-1.190
1,5:15,3,8,JAX 4,0,0,Gardner Minshew pass incomplete short right intended for DJ Chark,-1.190,-2.490
1,5:11,4,8,JAX 4,0,0,"Logan Cooke punts 42 yards, returned by Deonte Harris for 9 yards (tackle by Lerentee McCray and Leon Jacobs)",-2.490,-3.120
1,5:00,1,10,JAX 37,0,0,"Alvin Kamara up the middle for -3 yards (tackle by Calais Campbell). Alvin Kamara fumbles (forced by Calais Campbell), recovered by Josh Hill at JAC-40 (tackle by Leon Jacobs)",3.120,2.170
1,4:21,2,13,JAX 40,0,0,Teddy Bridgewater pass incomplete deep left intended for Ted Ginn,2.170,1.490
1,4:16,3,13,JAX 40,0,0,Teddy Bridgewater pass complete short right to Jared Cook for 13 yards (tackle by Tre Herndon),1.490,3.780
1,3:30,1,10,JAX 27,0,0,Teddy Bridgewater pass incomplete short right,3.780,3.230
1,3:21,2,10,JAX 27,0,0,Teddy Bridgewater pass complete short left to Alvin Kamara for -2 yards (tackle by D.J. Hayden),3.230,2.280
1,2:38,3,12,JAX 29,0,0,Teddy Bridgewater pass incomplete deep left intended for Ted Ginn,2.280,1.500
1,2:33,4,12,JAX 29,3,0,Wil Lutz 47 yard field goal good,1.500,3.000
1,2:29,,,NOR 35,3,0,"Wil Lutz kicks off 65 yards, touchback.",0.000,0.610
1,2:29,1,10,JAX 25,3,0,"Penalty on Andrew Norwell: False Start, 5 yards (no play)",0.610,0.280
1,2:29,1,15,JAX 20,3,0,Gardner Minshew up the middle for 2 yards (tackle by Shy Tuttle),0.280,-0.340
1,1:53,2,13,JAX 22,3,0,Leonard Fournette left end for 8 yards (tackle by Eli Apple),-0.340,0.040
1,1:08,3,5,JAX 30,3,0,"Gardner Minshew sacked by P.J. Williams for no gain. Gardner Minshew fumbles (forced by P.J. Williams), recovered by Leonard Fournette at JAC-28 (tackle by Vonn Bell). Penalty on Marshon Lattimore: Defensive Holding (Offsetting) (no play)",0.040,0.040
1,0:50,3,5,JAX 30,3,0,Gardner Minshew pass incomplete short right intended for Chris Conley (defended by Marcus Williams),0.040,-1.370
