Unnamed: 0,CAR,NYG
First Downs,18,18
Rush-Yds-TDs,23-146-0,33-103-0
Cmp-Att-Yd-TD-INT,14-29-145-1-0,22-34-176-1-0
Sacked-Yards,2-16,3-14
Net Pass Yards,129,162
Total Yards,275,265
Fumbles-Lost,3-2,0-0
Turnovers,2,0
Penalties-Yards,5-38,8-62
Third Down Conv.,2-12,6-18
Fourth Down Conv.,1-1,1-1
Time of Possession,23:55,36:05
