Quarter,Time,Tm,Detail,MIN,CHI
1.0,1:56,Bears,Devin Hester 89 yard punt return (Robbie Gould kick),0,7
,0:00,Vikings,Troy Williamson 60 yard pass from Tarvaris Jackson (Ryan Longwell kick),7,7
2.0,11:45,Bears,Bernard Berrian 39 yard pass from Brian Griese (Robbie Gould kick),7,14
,2:19,Vikings,Adrian Peterson 67 yard rush (Ryan Longwell kick),14,14
3.0,2:31,Vikings,Adrian Peterson 73 yard rush (Ryan Longwell kick),21,14
4.0,11:31,Vikings,Ryan Longwell 48 yard field goal,24,14
,8:37,Bears,Robbie Gould 32 yard field goal,24,17
,4:10,Vikings,Adrian Peterson 35 yard rush (Ryan Longwell kick),31,17
,2:36,Bears,Muhsin Muhammad 33 yard pass from Brian Griese (Robbie Gould kick),31,24
,1:38,Bears,Devin Hester 81 yard pass from Brian Griese (Robbie Gould kick),31,31
,0:00,Vikings,Ryan Longwell 55 yard field goal,34,31
