Unnamed: 0,MIN,CHI
First Downs,16,20
Rush-Yds-TDs,43-311-3,24-83-0
Cmp-Att-Yd-TD-INT,9-23-136-1-0,26-45-381-3-2
Sacked-Yards,1-3,1-6
Net Pass Yards,133,375
Total Yards,444,458
Fumbles-Lost,1-0,2-2
Turnovers,0,4
Penalties-Yards,2-10,4-28
Third Down Conv.,5-16,6-15
Fourth Down Conv.,0-0,0-1
Time of Possession,31:19,28:41
