Quarter,Time,Tm,Detail,JAX,KAN
1.0,5:51,Chiefs,Jamaal Charles 4 yard rush (Ryan Succop kick),0,7
,1:13,Jaguars,Josh Scobee 35 yard field goal,3,7
2.0,9:38,Jaguars,Maurice Jones-Drew 18 yard pass from Todd Bouman (Josh Scobee kick),10,7
,1:31,Chiefs,Thomas Jones 1 yard rush (Ryan Succop kick),10,14
,0:07,Jaguars,Josh Scobee 18 yard field goal,13,14
3.0,14:23,Chiefs,Dwayne Bowe 53 yard pass from Matt Cassel (Ryan Succop kick),13,21
,10:36,Jaguars,Mike Sims-Walker 9 yard pass from Todd Bouman (Josh Scobee kick),20,21
,5:13,Chiefs,Derrick Johnson 15 yard interception return (Ryan Succop kick),20,28
4.0,3:46,Chiefs,Dwayne Bowe 6 yard pass from Matt Cassel (Ryan Succop kick),20,35
,1:56,Chiefs,Jackie Battle 1 yard rush (Ryan Succop kick),20,42
