Unnamed: 0,JAX,KAN
First Downs,19,25
Rush-Yds-TDs,23-84-0,42-236-3
Cmp-Att-Yd-TD-INT,18-34-222-2-2,13-18-193-2-0
Sacked-Yards,1-6,1-3
Net Pass Yards,216,190
Total Yards,300,426
Fumbles-Lost,2-1,0-0
Turnovers,3,0
Penalties-Yards,6-43,7-92
Third Down Conv.,3-10,6-11
Fourth Down Conv.,1-1,1-2
Time of Possession,26:00,34:00
