Quarter,Time,Tm,Detail,NWE,MIN
1.0,10:40,Vikings,Justin Jefferson 6 yard pass from Kirk Cousins (Greg Joseph kick),0,7
,8:21,Patriots,Nelson Agholor 34 yard pass from Mac Jones (Nick Folk kick),7,7
,1:28,Patriots,Nick Folk 34 yard field goal,10,7
2.0,8:29,Vikings,Greg Joseph 30 yard field goal,10,10
,5:41,Patriots,Nick Folk 46 yard field goal,13,10
,1:30,Vikings,T.J. Hockenson 1 yard pass from Kirk Cousins (Greg Joseph kick failed),13,16
,0:03,Patriots,Nick Folk 23 yard field goal,16,16
3.0,10:54,Patriots,Hunter Henry 37 yard pass from Mac Jones (Nick Folk kick),23,16
,10:41,Vikings,Kene Nwangwu 97 yard kickoff return (Greg Joseph kick),23,23
,6:43,Patriots,Nick Folk 25 yard field goal,26,23
4.0,14:07,Vikings,Greg Joseph 36 yard field goal,26,26
,9:34,Vikings,Adam Thielen 15 yard pass from Kirk Cousins (Greg Joseph kick),26,33
