Unnamed: 0,NWE,MIN
First Downs,17,23
Rush-Yds-TDs,13-45-0,27-57-0
Cmp-Att-Yd-TD-INT,28-39-382-2-0,31-38-310-3-1
Sacked-Yards,3-18,1-9
Net Pass Yards,364,301
Total Yards,409,358
Fumbles-Lost,1-0,0-0
Turnovers,0,1
Penalties-Yards,6-55,3-20
Third Down Conv.,3-10,8-15
Fourth Down Conv.,0-1,0-0
Time of Possession,23:43,36:17
