Quarter,Time,Down,ToGo,Location,NWE,MIN,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Patriots won the coin toss and deferred, Vikings to receive the opening kickoff.",,
1,15:00,,,NWE 35,0,0,"Nick Folk kicks off 63 yards, returned by Kene Nwangwu for 18 yards (tackle by Marcus Jones)",0.000,0.280
1,14:54,1,10,MIN 20,0,0,Dalvin Cook left end for 4 yards (tackle by Lawrence Guy and Jahlani Tavai),0.280,0.270
1,14:26,2,6,MIN 24,0,0,Kirk Cousins pass complete short right to Johnny Mundt for 13 yards (tackle by Anfernee Jennings),0.270,1.400
1,13:36,1,10,MIN 37,0,0,"Kirk Cousins pass complete short right to Justin Jefferson for 7 yards (tackle by Jonathan Jones). Penalty on Jonathan Jones: Face Mask (15 Yards), 15 yards (accepted)",1.400,2.850
1,13:17,1,10,NWE 41,0,0,Kirk Cousins pass complete short left to Adam Thielen for 16 yards (tackle by Kyle Dugger),2.850,3.910
1,12:35,1,10,NWE 25,0,0,Justin Jefferson pass complete short right to Adam Thielen for 11 yards (tackle by Myles Bryant),3.910,4.650
1,11:55,1,10,NWE 14,0,0,Dalvin Cook right end for 4 yards (tackle by Kyle Dugger),4.650,4.710
1,11:08,2,6,NWE 10,0,0,Dalvin Cook right tackle for 4 yards (tackle by Devin McCourty and Lawrence Guy),4.710,4.730
1,10:44,3,2,NWE 6,0,6,"Kirk Cousins pass complete short right to Justin Jefferson for 6 yards, touchdown",4.730,7.000
1,10:40,,,NWE 15,0,7,Greg Joseph kicks extra point good,0.000,0.000
1,10:40,,,MIN 35,0,7,"Greg Joseph kicks off 65 yards, touchback.",0.000,0.610
1,10:40,1,10,NWE 25,0,7,"Mac Jones aborted snap, recovered by Mac Jones at NE-25 Mac Jones pass complete deep right to Jakobi Meyers for 26 yards (tackle by Harrison Smith)",0.610,2.320
1,9:59,1,10,MIN 49,0,7,Damien Harris up the middle for 7 yards (tackle by Jordan Hicks),2.320,2.730
1,9:35,2,3,MIN 42,0,7,Damien Harris up the middle for 4 yards (tackle by Za'Darius Smith),2.730,3.050
1,9:09,1,10,MIN 38,0,7,Mac Jones pass complete short right to Hunter Henry for 4 yards (tackle by Harrison Smith and Jordan Hicks),3.050,3.050
1,8:29,2,6,MIN 34,6,7,"Mac Jones pass complete deep middle to Nelson Agholor for 34 yards, touchdown",3.050,7.000
1,8:21,,,MIN 15,7,7,Nick Folk kicks extra point good,0.000,0.000
1,8:21,,,NWE 35,7,7,"Nick Folk kicks off 63 yards, returned by Kene Nwangwu for 19 yards (tackle by Jahlani Tavai)",0.000,0.340
1,8:15,1,10,MIN 21,7,7,Kirk Cousins pass complete short left to Justin Jefferson for 6 yards (tackle by Jonathan Jones),0.340,0.610
1,7:38,2,4,MIN 27,7,7,Dalvin Cook right guard for 3 yards (tackle by Lawrence Guy and Davon Godchaux),0.610,0.300
1,6:56,3,1,MIN 30,7,7,Kirk Cousins pass incomplete short right intended for Justin Jefferson (defended by Jonathan Jones),0.300,-1.370
1,6:51,4,1,MIN 30,7,7,"Ryan Wright punts 56 yards, fair catch by Marcus Jones at NE-14",-1.370,0.280
1,6:44,1,10,NWE 14,7,7,Rhamondre Stevenson right guard for 5 yards (tackle by James Lynch),-0.280,-0.040
1,6:13,2,5,NWE 19,7,7,Mac Jones pass complete short right to Rhamondre Stevenson for 2 yards (tackle by Jordan Hicks),-0.040,-0.560
1,5:40,3,3,NWE 21,7,7,Mac Jones pass incomplete short right intended for Rhamondre Stevenson,-0.560,-1.960
1,5:37,4,3,NWE 21,7,7,Michael Palardy punts 36 yards downed by Jabrill Peppers,-1.960,-1.800
1,5:27,1,10,MIN 43,7,7,"Dalvin Cook left end for 6 yards (tackle by Deatrich Wise). Penalty on Davon Godchaux: Defensive Holding, 5 yards (accepted)",1.800,2.520
1,5:01,1,10,NWE 46,7,7,Kirk Cousins pass complete short right to Adam Thielen for 2 yards,2.520,2.250
1,4:22,2,8,NWE 44,7,7,Dalvin Cook left end for -2 yards (tackle by Raekwon McMillan),2.250,1.290
1,3:43,3,10,NWE 46,7,7,Kirk Cousins pass deep right intended for K.J. Osborn is intercepted by Jonathan Jones at NE-28 and returned for 55 yards (tackle by Dalvin Cook),1.290,-4.440
1,3:28,1,10,MIN 17,7,7,Damien Harris left tackle for 3 yards (tackle by Jonathan Bullard and Harrison Phillips),4.440,4.320
1,2:58,2,7,MIN 14,7,7,Kendrick Bourne left end for -7 yards (tackle by Za'Darius Smith),4.320,2.680
1,2:09,3,14,MIN 21,7,7,Mac Jones pass complete short left to Nelson Agholor for 5 yards (tackle by Eric Kendricks),2.680,2.380
1,1:32,4,9,MIN 16,10,7,Nick Folk 34 yard field goal good,2.380,3.000
1,1:28,,,NWE 35,10,7,"Nick Folk kicks off 62 yards, returned by Kene Nwangwu for 13 yards (tackle by Jabrill Peppers and Brenden Schooler)",0.000,-0.140
1,1:23,1,10,MIN 16,10,7,Alexander Mattison right guard for -1 yards (tackle by Adrian Phillips and Lawrence Guy),-0.140,-0.780
1,0:48,2,11,MIN 15,10,7,Kirk Cousins pass complete short left to Adam Thielen for 4 yards (tackle by Adrian Phillips),-0.780,-0.950
1,0:07,3,7,MIN 19,10,7,Kirk Cousins pass complete short right to T.J. Hockenson for 14 yards (tackle by Kyle Dugger),-0.950,1.140
Quarter,Time,Down,ToGo,Location,NWE,MIN,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,1,10,MIN 33,10,7,Alexander Mattison left tackle for 4 yards (tackle by Adrian Phillips),1.140,1.130
2,14:19,2,6,MIN 37,10,7,Kirk Cousins pass complete short middle to Justin Jefferson for 21 yards (tackle by Jack Jones),1.130,2.790
2,13:38,1,10,NWE 42,10,7,Kirk Cousins pass complete short left to T.J. Hockenson for 7 yards (tackle by Adrian Phillips),2.790,3.190
2,12:57,2,3,NWE 35,10,7,Alexander Mattison left guard for 8 yards (tackle by Kyle Dugger),3.190,3.780
2,12:29,1,10,NWE 27,10,7,Kirk Cousins pass complete short middle to Johnny Mundt for 7 yards (tackle by Ja'Whaun Bentley),3.780,4.180
2,11:45,2,3,NWE 20,10,7,Dalvin Cook left end for no gain (tackle by Jalen Mills),4.180,3.470
2,11:18,3,3,NWE 20,10,7,Kirk Cousins pass complete short right to Dalvin Cook for 6 yards (tackle by Myles Bryant),3.470,4.650
2,10:35,1,10,NWE 14,10,7,Kirk Cousins pass incomplete short left intended for Dalvin Cook,4.650,4.000
2,10:29,2,10,NWE 14,10,7,Dalvin Cook right tackle for 5 yards (tackle by Myles Bryant and Devin McCourty),4.000,4.050
2,9:43,3,5,NWE 9,10,7,"Kirk Cousins pass complete to Justin Jefferson for no gain. Penalty on Ed Ingram: Offensive Holding, 10 yards (accepted) (no play)",4.050,2.730
2,9:11,3,15,NWE 19,10,7,Kirk Cousins pass complete short left to Adam Thielen for 7 yards (tackle by Jalen Mills),2.730,2.630
2,8:32,4,8,NWE 12,10,10,Greg Joseph 30 yard field goal good,2.630,3.000
2,8:29,,,MIN 35,10,10,"Greg Joseph kicks off 62 yards, returned by Marcus Jones for 46 yards (tackle by Troy Dye)",0.000,2.190
