Unnamed: 0,NYG,DAL
First Downs,19,16
Rush-Yds-TDs,26-125-1,30-166-0
Cmp-Att-Yd-TD-INT,18-33-217-1-0,15-25-126-1-1
Sacked-Yards,3-6,2-14
Net Pass Yards,211,112
Total Yards,336,278
Fumbles-Lost,2-1,2-1
Turnovers,1,2
Penalties-Yards,9-60,11-74
Third Down Conv.,5-13,4-11
Fourth Down Conv.,0-0,0-2
Time of Possession,32:12,27:48
